age,date,tick,count
18_64,2021-03-06,96,333623
18_64,2021-03-13,103,66004
18_64,2021-03-20,110,66222
18_64,2021-03-27,117,69226
18_64,2021-04-03,124,131387
18_64,2021-04-10,131,164442
18_64,2021-04-17,138,196149
18_64,2021-04-24,145,183035
18_64,2021-05-01,152,195275
18_64,2021-05-08,159,176152
18_64,2021-05-15,166,232645
18_64,2021-05-22,173,212741
18_64,2021-05-29,180,177153
18_64,2021-06-05,187,93302
18_64,2021-06-12,194,105979
18_64,2021-06-19,201,105978
18_64,2021-06-26,208,61941
18_64,2021-07-03,215,61941
18_64,2021-07-10,222,43035
18_64,2021-07-17,229,37810
18_64,2021-07-24,236,29358
18_64,2021-07-31,243,28357
18_64,2021-08-07,250,23130
18_64,2021-08-14,257,28357
18_64,2021-08-21,264,30361
18_64,2021-08-28,271,31361
18_64,2021-09-25,299,13677
18_64,2021-10-02,306,33584
18_64,2021-10-09,313,47262
18_64,2021-10-16,320,33584
18_64,2021-10-23,327,28357
18_64,2021-10-30,334,22128
18_64,2021-11-06,341,17902
18_64,2021-11-13,348,17903
18_64,2021-11-20,355,23130
18_64,2021-11-27,362,9453
18_64,2021-12-04,369,23130
18_64,2021-12-11,376,13677
18_64,2021-12-18,383,18905
18_64,2021-12-25,390,9452
18_64,2022-01-01,397,9453
18_64,2022-01-08,404,13677
18_64,2022-01-15,411,9453
18_64,2022-01-22,418,44038
18_64,2022-01-29,425,9451
18_64,2022-02-05,432,9452
18_64,2022-02-12,439,9453
18_64,2022-02-19,446,26353
18_64,2022-02-26,453,4226
18_64,2022-03-05,460,10454
18_64,2022-03-12,467,4225
18_64,2022-03-19,474,4225
18_64,2022-03-26,481,4226
18_64,2022-04-09,495,6447
18_64,2022-04-16,502,4226
18_64,2022-04-23,509,3223
18_64,2022-04-30,516,3224
18_64,2022-05-07,523,3224
18_64,2022-05-14,530,3223
18_64,2022-05-28,544,2222
5_17,2021-11-06,341,347435
5_17,2021-11-13,348,3460
5_17,2021-11-20,355,2306
5_17,2021-11-27,362,2307
5_17,2021-12-04,369,24906
5_17,2021-12-11,376,54501
5_17,2021-12-18,383,30134
5_17,2021-12-25,390,15067
5_17,2022-01-01,397,8686
5_17,2022-01-08,404,9840
5_17,2022-01-15,411,21447
5_17,2022-01-22,418,3999
5_17,2022-01-29,425,15068
5_17,2022-02-05,432,8686
5_17,2022-02-12,439,8687
5_17,2022-02-19,446,13299
5_17,2022-02-26,453,8687
5_17,2022-03-05,460,7533
5_17,2022-03-12,467,1154
5_17,2022-03-19,474,7533
5_17,2022-03-26,481,1153
5_17,2022-04-02,488,2307
5_17,2022-04-16,502,7533
5_17,2022-04-23,509,1153
5_17,2022-04-30,516,1153
5_17,2022-05-07,523,1154
5_17,2022-05-14,530,1153
5_17,2022-05-21,537,1153
5_17,2022-06-04,551,6380
65_130,2021-03-06,96,314522
65_130,2021-03-13,103,75125
65_130,2021-03-20,110,80133
65_130,2021-03-27,117,77129
65_130,2021-04-03,124,87144
65_130,2021-04-10,131,56093
65_130,2021-04-17,138,39065
65_130,2021-04-24,145,26044
65_130,2021-05-01,152,19031
65_130,2021-05-08,159,12020
65_130,2021-05-15,166,13022
65_130,2021-05-22,173,12020
65_130,2021-05-29,180,11018
65_130,2021-06-05,187,6010
65_130,2021-06-12,194,9015
65_130,2021-06-19,201,9015
65_130,2021-06-26,208,6010
65_130,2021-07-03,215,6010
65_130,2021-07-10,222,4007
65_130,2021-07-17,229,4006
65_130,2021-07-24,236,2004
65_130,2021-07-31,243,3005
65_130,2021-08-07,250,3005
65_130,2021-08-14,257,3005
65_130,2021-08-21,264,1001
65_130,2021-09-25,299,2004
65_130,2021-10-02,306,3005
65_130,2021-10-09,313,5008
65_130,2021-10-16,320,3005
65_130,2021-10-23,327,3005
65_130,2021-10-30,334,4007
65_130,2021-11-06,341,3005
65_130,2021-11-13,348,3005
65_130,2021-11-20,355,3005
65_130,2021-11-27,362,1001
65_130,2021-12-04,369,3005
65_130,2021-12-11,376,2004
65_130,2021-12-18,383,2003
65_130,2021-12-25,390,1002
65_130,2022-01-01,397,1001
65_130,2022-01-08,404,1002
65_130,2022-01-15,411,2003
65_130,2022-01-22,418,3005
65_130,2022-01-29,425,1002
65_130,2022-02-05,432,1002
65_130,2022-02-12,439,1001
65_130,2022-02-19,446,5009
65_130,2022-02-26,453,1001
65_130,2022-03-12,467,1002
65_130,2022-03-26,481,1002
65_130,2022-04-02,488,1001
65_130,2022-04-09,495,2004
65_130,2022-04-16,502,2003
65_130,2022-04-23,509,2003
65_130,2022-04-30,516,2003
65_130,2022-05-07,523,2004
65_130,2022-05-14,530,2003
65_130,2022-05-21,537,1002
65_130,2022-05-28,544,2003
65_130,2022-06-04,551,1002
