age,date,tick,count
18_64,2021-03-06,96,360634
18_64,2021-03-13,103,89235
18_64,2021-03-20,110,47599
18_64,2021-03-27,117,70151
18_64,2021-04-03,124,94610
18_64,2021-04-10,131,169197
18_64,2021-04-17,138,207214
18_64,2021-04-24,145,201489
18_64,2021-05-01,152,240298
18_64,2021-05-08,159,249378
18_64,2021-05-15,166,247471
18_64,2021-05-22,173,195194
18_64,2021-05-29,180,169507
18_64,2021-06-05,187,106460
18_64,2021-06-12,194,96588
18_64,2021-06-19,201,72918
18_64,2021-06-26,208,45322
18_64,2021-07-03,215,55193
18_64,2021-07-10,222,22661
18_64,2021-07-17,229,22662
18_64,2021-07-24,236,21651
18_64,2021-07-31,243,18734
18_64,2021-08-07,250,17725
18_64,2021-08-14,257,17726
18_64,2021-08-21,264,22660
18_64,2021-08-28,271,22661
18_64,2021-09-04,278,26587
18_64,2021-09-11,285,17725
18_64,2021-09-18,292,18734
18_64,2021-09-25,299,22661
18_64,2021-10-02,306,11780
18_64,2021-10-09,313,25579
18_64,2021-10-16,320,17724
18_64,2021-10-23,327,20643
18_64,2021-10-30,334,16716
18_64,2021-11-06,341,14698
18_64,2021-11-13,348,11779
18_64,2021-11-20,355,19633
18_64,2021-11-27,362,8863
18_64,2021-12-04,369,20643
18_64,2021-12-11,376,11780
18_64,2021-12-18,383,16716
18_64,2021-12-25,390,13798
18_64,2022-01-01,397,7853
18_64,2022-01-08,404,13798
18_64,2022-01-15,411,13799
18_64,2022-01-22,418,12789
18_64,2022-01-29,425,9872
18_64,2022-02-05,432,8863
18_64,2022-02-12,439,13798
18_64,2022-02-19,446,8862
18_64,2022-02-26,453,4936
18_64,2022-03-05,460,8862
18_64,2022-03-19,474,3927
18_64,2022-04-02,488,3927
18_64,2022-04-09,495,8752
18_64,2022-04-16,502,4826
18_64,2022-04-23,509,9872
18_64,2022-04-30,516,9871
18_64,2022-05-07,523,4936
18_64,2022-05-14,530,9872
18_64,2022-05-21,537,9871
18_64,2022-05-28,544,4936
18_64,2022-06-04,551,4936
18_64,2022-06-11,558,4936
5_17,2021-11-06,341,395715
5_17,2021-11-20,355,3037
5_17,2021-11-27,362,2024
5_17,2021-12-04,369,34802
5_17,2021-12-11,376,56569
5_17,2021-12-18,383,39738
5_17,2021-12-25,390,14933
5_17,2022-01-01,397,13920
5_17,2022-01-08,404,8986
5_17,2022-01-15,411,14932
5_17,2022-01-22,418,14933
5_17,2022-01-29,425,7973
5_17,2022-02-05,432,8984
5_17,2022-02-12,439,13921
5_17,2022-02-19,446,7972
5_17,2022-02-26,453,6961
5_17,2022-03-05,460,2025
5_17,2022-03-12,467,5948
5_17,2022-03-19,474,2024
5_17,2022-04-02,488,4049
5_17,2022-04-16,502,2024
5_17,2022-04-23,509,1013
5_17,2022-04-30,516,2025
5_17,2022-05-07,523,2024
5_17,2022-05-14,530,1012
5_17,2022-05-21,537,2025
5_17,2022-05-28,544,1012
5_17,2022-06-04,551,1012
5_17,2022-06-11,558,2024
65_130,2021-03-06,96,211921
65_130,2021-03-13,103,118070
65_130,2021-03-20,110,80732
65_130,2021-03-27,117,87796
65_130,2021-04-03,124,96878
65_130,2021-04-10,131,73667
65_130,2021-04-17,138,49449
65_130,2021-04-24,145,40366
65_130,2021-05-01,152,26237
65_130,2021-05-08,159,17156
65_130,2021-05-15,166,14128
65_130,2021-05-22,173,12110
65_130,2021-05-29,180,13119
65_130,2021-06-05,187,7064
65_130,2021-06-12,194,7064
65_130,2021-06-19,201,6055
65_130,2021-06-26,208,4036
65_130,2021-07-03,215,4037
65_130,2021-07-10,222,2018
65_130,2021-07-17,229,2018
65_130,2021-07-24,236,2019
65_130,2021-07-31,243,2018
65_130,2021-08-07,250,2018
65_130,2021-08-14,257,2018
65_130,2021-08-21,264,2019
65_130,2021-08-28,271,2018
65_130,2021-09-04,278,3028
65_130,2021-09-11,285,2018
65_130,2021-09-18,292,1009
65_130,2021-09-25,299,2018
65_130,2021-10-02,306,3028
65_130,2021-10-09,313,3027
65_130,2021-10-16,320,3028
65_130,2021-10-23,327,3027
65_130,2021-10-30,334,4037
65_130,2021-11-06,341,5045
65_130,2021-11-13,348,3028
65_130,2021-11-20,355,5046
65_130,2021-11-27,362,1009
65_130,2021-12-04,369,4036
65_130,2021-12-11,376,3028
65_130,2021-12-18,383,2018
65_130,2021-12-25,390,2018
65_130,2022-01-01,397,2019
65_130,2022-01-08,404,1009
65_130,2022-01-15,411,1009
65_130,2022-01-22,418,1009
65_130,2022-01-29,425,1009
65_130,2022-02-05,432,1009
65_130,2022-02-12,439,1009
65_130,2022-02-19,446,1010
65_130,2022-03-05,460,1009
65_130,2022-03-19,474,1009
65_130,2022-04-02,488,1009
65_130,2022-04-09,495,6055
65_130,2022-04-16,502,5046
