age,date,tick,count
18_64,2021-03-06,96,290602
18_64,2021-03-13,103,75707
18_64,2021-03-20,110,37433
18_64,2021-03-27,117,46904
18_64,2021-04-03,124,91950
18_64,2021-04-10,131,132710
18_64,2021-04-17,138,182853
18_64,2021-04-24,145,143034
18_64,2021-05-01,152,170672
18_64,2021-05-08,159,133367
18_64,2021-05-15,166,149990
18_64,2021-05-22,173,127762
18_64,2021-05-29,180,84949
18_64,2021-06-05,187,43683
18_64,2021-06-12,194,36531
18_64,2021-06-19,201,51608
18_64,2021-06-26,208,24644
18_64,2021-07-03,215,53252
18_64,2021-07-10,222,15077
18_64,2021-07-17,229,13530
18_64,2021-07-24,236,14304
18_64,2021-07-31,243,14303
18_64,2021-08-07,250,13531
18_64,2021-08-14,257,14304
18_64,2021-08-21,264,17493
18_64,2021-08-28,271,20682
18_64,2021-09-04,278,21455
18_64,2021-09-11,285,21455
18_64,2021-09-18,292,17493
18_64,2021-09-25,299,18265
18_64,2021-10-02,306,15948
18_64,2021-10-09,313,15175
18_64,2021-10-16,320,9568
18_64,2021-10-23,327,15947
18_64,2021-10-30,334,15176
18_64,2021-11-06,341,66107
18_64,2021-11-13,348,10342
18_64,2021-11-20,355,13531
18_64,2021-11-27,362,3189
18_64,2021-12-04,369,14303
18_64,2021-12-11,376,11115
18_64,2021-12-18,383,10341
18_64,2021-12-25,390,7151
18_64,2022-01-01,397,7925
18_64,2022-01-08,404,10341
18_64,2022-01-15,411,7925
18_64,2022-01-22,418,11113
18_64,2022-01-29,425,7925
18_64,2022-02-05,432,7924
18_64,2022-02-12,439,7925
18_64,2022-02-19,446,7924
18_64,2022-02-26,453,3963
18_64,2022-03-05,460,7924
18_64,2022-03-12,467,3962
18_64,2022-03-26,481,3962
18_64,2022-04-02,488,3963
18_64,2022-04-09,495,3962
18_64,2022-04-16,502,3962
18_64,2022-04-23,509,3962
18_64,2022-04-30,516,3963
18_64,2022-05-14,530,3962
18_64,2022-05-21,537,3962
18_64,2022-05-28,544,3962
18_64,2022-06-11,558,3963
5_17,2021-11-06,341,262988
5_17,2021-11-13,348,2775
5_17,2021-11-20,355,1850
5_17,2021-11-27,362,925
5_17,2021-12-04,369,33023
5_17,2021-12-11,376,36985
5_17,2021-12-18,383,27211
5_17,2021-12-25,390,11625
5_17,2022-01-01,397,11623
5_17,2022-01-08,404,7663
5_17,2022-01-15,411,11624
5_17,2022-01-22,418,8587
5_17,2022-01-29,425,6738
5_17,2022-02-05,432,10699
5_17,2022-02-12,439,6737
5_17,2022-02-19,446,6738
5_17,2022-02-26,453,6736
5_17,2022-03-05,460,5813
5_17,2022-03-12,467,925
5_17,2022-03-19,474,4887
5_17,2022-03-26,481,925
5_17,2022-04-02,488,924
5_17,2022-04-09,495,926
5_17,2022-04-16,502,925
5_17,2022-04-23,509,925
5_17,2022-04-30,516,924
5_17,2022-05-07,523,925
5_17,2022-05-14,530,926
5_17,2022-05-28,544,925
5_17,2022-06-04,551,924
65_130,2021-03-06,96,208640
65_130,2021-03-13,103,78820
65_130,2021-03-20,110,69547
65_130,2021-03-27,117,68001
65_130,2021-04-03,124,93502
65_130,2021-04-10,131,46364
65_130,2021-04-17,138,23183
65_130,2021-04-24,145,15455
65_130,2021-05-01,152,11591
65_130,2021-05-08,159,9273
65_130,2021-05-15,166,8500
65_130,2021-05-22,173,6954
65_130,2021-05-29,180,6182
65_130,2021-06-05,187,3864
65_130,2021-06-12,194,3091
65_130,2021-06-19,201,3864
65_130,2021-06-26,208,3091
65_130,2021-07-03,215,5409
65_130,2021-07-10,222,1545
65_130,2021-07-17,229,2319
65_130,2021-07-24,236,1545
65_130,2021-07-31,243,1546
65_130,2021-08-07,250,2318
65_130,2021-08-14,257,1545
65_130,2021-08-21,264,2318
65_130,2021-08-28,271,3091
65_130,2021-09-04,278,2319
65_130,2021-09-11,285,2318
65_130,2021-09-18,292,2318
65_130,2021-09-25,299,1546
65_130,2021-10-02,306,3863
65_130,2021-10-09,313,4637
65_130,2021-10-16,320,2318
65_130,2021-10-23,327,3864
65_130,2021-10-30,334,3863
65_130,2021-11-06,341,13910
65_130,2021-11-13,348,1545
65_130,2021-11-20,355,1546
65_130,2021-11-27,362,1545
65_130,2021-12-04,369,1546
65_130,2021-12-11,376,772
65_130,2021-12-18,383,1546
65_130,2021-12-25,390,773
65_130,2022-01-08,404,772
65_130,2022-01-15,411,773
65_130,2022-01-22,418,773
