age,date,tick,count
18_64,2021-03-06,96,295769
18_64,2021-03-13,103,55174
18_64,2021-03-20,110,59485
18_64,2021-03-27,117,53140
18_64,2021-04-03,124,72634
18_64,2021-04-10,131,130438
18_64,2021-04-17,138,273129
18_64,2021-04-24,145,273021
18_64,2021-05-01,152,237774
18_64,2021-05-08,159,181789
18_64,2021-05-15,166,155381
18_64,2021-05-22,173,96899
18_64,2021-05-29,180,50320
18_64,2021-06-05,187,155381
18_64,2021-06-12,194,44654
18_64,2021-06-19,201,68567
18_64,2021-06-26,208,43407
18_64,2021-07-03,215,93727
18_64,2021-07-10,222,19493
18_64,2021-07-17,229,25161
18_64,2021-07-24,236,36494
18_64,2021-07-31,243,36493
18_64,2021-08-07,250,25160
18_64,2021-08-14,257,25160
18_64,2021-08-21,264,67320
18_64,2021-08-28,271,50320
18_64,2021-09-04,278,62901
18_64,2021-09-11,285,43407
18_64,2021-09-18,292,93727
18_64,2021-09-25,299,68567
18_64,2021-10-02,306,50320
18_64,2021-10-09,313,46579
18_64,2021-10-16,320,49073
18_64,2021-10-23,327,29580
18_64,2021-10-30,334,45332
18_64,2021-11-06,341,30827
18_64,2021-11-13,348,13827
18_64,2021-11-20,355,34568
18_64,2021-12-11,376,27086
18_64,2021-12-18,383,15751
18_64,2021-12-25,390,11334
18_64,2022-01-01,397,36493
18_64,2022-01-08,404,4419
18_64,2022-01-15,411,25160
18_64,2022-01-22,418,43407
18_64,2022-01-29,425,11332
18_64,2022-02-05,432,12581
18_64,2022-02-12,439,4419
18_64,2022-02-19,446,6914
18_64,2022-02-26,453,5667
18_64,2022-03-05,460,11333
18_64,2022-03-12,467,6914
18_64,2022-03-19,474,5665
18_64,2022-03-26,481,6914
18_64,2022-04-02,488,5667
18_64,2022-04-09,495,4419
18_64,2022-04-16,502,4420
18_64,2022-04-23,509,8838
18_64,2022-04-30,516,5667
18_64,2022-05-07,523,5666
18_64,2022-05-14,530,4419
18_64,2022-05-21,537,5667
18_64,2022-06-04,551,4419
18_64,2022-06-11,558,5667
5_17,2021-11-06,341,343259
5_17,2021-11-13,348,8
5_17,2021-11-20,355,12106
5_17,2021-11-27,362,8644
5_17,2021-12-11,376,17295
5_17,2021-12-18,383,22480
5_17,2021-12-25,390,8651
5_17,2022-01-01,397,13835
5_17,2022-01-08,404,10376
5_17,2022-01-15,411,6921
5_17,2022-01-22,418,20757
5_17,2022-01-29,425,12105
5_17,2022-02-05,432,12104
5_17,2022-02-12,439,10375
5_17,2022-02-19,446,1730
5_17,2022-02-26,453,10375
5_17,2022-03-05,460,3461
5_17,2022-03-12,467,10374
5_17,2022-03-19,474,1731
5_17,2022-03-26,481,1730
5_17,2022-04-02,488,1730
5_17,2022-04-09,495,1731
5_17,2022-04-16,502,3461
5_17,2022-04-23,509,1730
5_17,2022-04-30,516,1730
5_17,2022-05-07,523,1731
5_17,2022-05-14,530,1730
5_17,2022-05-21,537,1730
5_17,2022-05-28,544,1731
5_17,2022-06-04,551,1730
65_130,2021-03-06,96,443990
65_130,2021-03-13,103,62358
65_130,2021-03-20,110,51133
65_130,2021-03-27,117,43651
65_130,2021-04-03,124,44898
65_130,2021-04-10,131,42403
65_130,2021-04-17,138,44898
65_130,2021-04-24,145,31179
65_130,2021-05-01,152,24944
65_130,2021-05-08,159,18707
65_130,2021-05-15,166,17460
65_130,2021-05-22,173,13719
65_130,2021-05-29,180,4989
65_130,2021-06-05,187,17460
65_130,2021-06-12,194,3741
65_130,2021-06-19,201,7483
65_130,2021-06-26,208,4989
65_130,2021-07-03,215,9977
65_130,2021-07-10,222,1248
65_130,2021-07-17,229,2494
65_130,2021-07-24,236,4988
65_130,2021-07-31,243,4989
65_130,2021-08-07,250,2494
65_130,2021-08-14,257,2495
65_130,2021-08-21,264,8730
65_130,2021-08-28,271,4989
65_130,2021-09-04,278,6235
65_130,2021-09-11,285,4989
65_130,2021-09-18,292,9977
65_130,2021-09-25,299,6236
65_130,2021-10-02,306,6236
65_130,2021-10-09,313,8730
65_130,2021-10-16,320,6236
65_130,2021-10-23,327,4989
65_130,2021-10-30,334,9977
65_130,2021-11-06,341,3741
65_130,2021-12-11,376,7483
65_130,2021-12-18,383,4989
65_130,2021-12-25,390,2494
65_130,2022-01-01,397,4989
65_130,2022-01-08,404,2494
65_130,2022-01-15,411,2495
65_130,2022-01-22,418,4988
65_130,2022-01-29,425,2495
65_130,2022-02-05,432,1247
65_130,2022-02-12,439,1247
65_130,2022-02-19,446,1247
65_130,2022-02-26,453,1247
65_130,2022-03-05,460,1247
65_130,2022-03-12,467,1247
65_130,2022-03-19,474,1248
65_130,2022-04-02,488,1247
65_130,2022-04-09,495,1247
65_130,2022-04-16,502,3741
65_130,2022-04-23,509,2495
65_130,2022-04-30,516,2494
65_130,2022-05-07,523,2494
65_130,2022-05-14,530,1248
65_130,2022-05-21,537,1247
65_130,2022-05-28,544,1247
65_130,2022-06-04,551,1247
65_130,2022-06-11,558,1247
