county,FIPS
Winchester City VA,51840
Williamsburg City VA,51830
Waynesboro City VA,51820
Virginia Beach City VA,51810
Suffolk City VA,51800
Staunton City VA,51790
Salem City VA,51775
Roanoke City VA,51770
Richmond City VA,51760
Radford City VA,51750
Portsmouth City VA,51740
Poquoson City VA,51735
Petersburg City VA,51730
Norton City VA,51720
Norfolk City VA,51710
Newport News City VA,51700
Martinsville City VA,51690
Manassas Park City VA,51685
Manassas City VA,51683
Lynchburg City VA,51680
Lexington City VA,51678
Hopewell City VA,51670
Harrisonburg City VA,51660
Hampton City VA,51650
Galax City VA,51640
Fredericksburg City VA,51630
Franklin City VA,51620
Falls Church City VA,51610
Fairfax City VA,51600
Emporia City VA,51595
Danville City VA,51590
Covington City VA,51580
Colonial Heights City VA,51570
Chesapeake City VA,51550
Charlottesville City VA,51540
Buena Vista City VA,51530
Bristol City VA,51520
Bedford City VA,51515
Alexandria City VA,51510
York VA,51199
Wythe VA,51197
Wise VA,51195
Westmoreland VA,51193
Washington VA,51191
Warren VA,51187
Tazewell VA,51185
Sussex VA,51183
Surry VA,51181
Stafford VA,51179
Spotsylvania VA,51177
Southampton VA,51175
Smyth VA,51173
Shenandoah VA,51171
Scott VA,51169
Russell VA,51167
Rockingham VA,51165
Rockbridge VA,51163
Roanoke VA,51161
Richmond VA,51159
Rappahannock VA,51157
Pulaski VA,51155
Prince William VA,51153
Prince George VA,51149
Prince Edward VA,51147
Powhatan VA,51145
Pittsylvania VA,51143
Patrick VA,51141
Page VA,51139
Orange VA,51137
Nottoway VA,51135
Northumberland VA,51133
Northampton VA,51131
New Kent VA,51127
Nelson VA,51125
Montgomery VA,51121
Middlesex VA,51119
Mecklenburg VA,51117
Mathews VA,51115
Madison VA,51113
Lunenburg VA,51111
Louisa VA,51109
Loudoun VA,51107
Lee VA,51105
Lancaster VA,51103
King William VA,51101
King George VA,51099
King and Queen VA,51097
James City VA,51095
Isle of Wight VA,51093
Highland VA,51091
Henry VA,51089
Henrico VA,51087
Hanover VA,51085
Halifax VA,51083
Greensville VA,51081
Greene VA,51079
Grayson VA,51077
Goochland VA,51075
Gloucester VA,51073
Giles VA,51071
Frederick VA,51069
Franklin VA,51067
Fluvanna VA,51065
Floyd VA,51063
Fauquier VA,51061
Fairfax VA,51059
Essex VA,51057
Dinwiddie VA,51053
Dickenson VA,51051
Cumberland VA,51049
Culpeper VA,51047
Craig VA,51045
Clarke VA,51043
Chesterfield VA,51041
Charlotte VA,51037
Charles City VA,51036
Carroll VA,51035
Caroline VA,51033
Campbell VA,51031
Buckingham VA,51029
Buchanan VA,51027
Brunswick VA,51025
Botetourt VA,51023
Bland VA,51021
Bedford VA,51019
Bath VA,51017
Augusta VA,51015
Arlington VA,51013
Appomattox VA,51011
Amherst VA,51009
Amelia VA,51007
Alleghany VA,51005
Albemarle VA,51003
Accomack VA,51001
