tick,annotation_3,importations,seq_count
223,B.1.1.7,4,82.0
223,B.1.617.2,16,85.0
224,B.1.617.2,15,38.0
225,B.1.1.7,4,32.0
225,B.1.617.2,18,13.0
226,B.1.617.2,8,13.0
227,B.1.617.2,8,97.0
228,B.1.1.7,3,56.0
228,B.1.617.2,29,47.0
229,B.1.617.2,19,83.0
230,B.1.617.2,33,43.0
231,B.1.1.7,1,33.0
231,B.1.617.2,44,93.0
232,B.1.617.2,32,43.0
233,B.1.1.7,1,32.0
233,B.1.617.2,28,36.0
234,B.1.617.2,21,75.0
235,B.1.1.7,2,21.0
235,B.1.617.2,46,17.0
236,B.1.1.7,1,50.0
236,B.1.617.2,83,57.0
237,B.1.1.7,2,31.0
237,B.1.617.2,48,50.0
238,B.1.617.2,39,51.0
239,B.1.1.7,1,23.0
239,B.1.617.2,49,22.0
240,B.1.617.2,31,35.0
241,B.1.617.2,28,45.0
242,B.1.617.2,44,41.0
243,B.1.617.2,26,32.0
244,B.1.617.2,39,30.0
245,B.1.617.2,24,25.0
246,B.1.617.2,22,11.0
247,B.1.617.2,28,37.0
248,B.1.617.2,18,71.0
249,B.1.617.2,27,54.0
250,B.1.617.2,26,40.0
251,B.1.617.2,37,86.0
252,B.1.617.2,26,12.0
253,B.1.617.2,36,15.0
254,B.1.617.2,16,62.0
255,B.1.617.2,12,26.0
256,B.1.617.2,35,29.0
257,B.1.617.2,39,32.0
258,B.1.1.7,1,27.0
258,B.1.617.2,56,45.0
259,B.1.617.2,36,16.0
260,B.1.617.2,37,64.0
261,B.1.617.2,10,18.0
262,B.1.617.2,14,28.0
263,B.1.617.2,45,29.0
264,B.1.617.2,60,36.0
265,B.1.617.2,60,27.0
266,B.1.617.2,55,16.0
267,B.1.617.2,31,67.0
268,B.1.617.2,28,25.0
269,B.1.617.2,10,13.0
270,B.1.617.2,8,56.0
271,B.1.617.2,70,56.0
272,B.1.617.2,37,18.0
273,B.1.617.2,34,34.0
274,B.1.617.2,31,14.0
275,B.1.617.2,21,44.0
276,B.1.617.2,23,25.0
277,B.1.617.2,54,20.0
278,B.1.617.2,23,24.0
279,B.1.617.2,24,21.0
280,B.1.617.2,28,32.0
281,B.1.617.2,47,11.0
282,B.1.617.2,17,27.0
283,B.1.617.2,8,37.0
284,B.1.617.2,29,15.0
285,B.1.617.2,33,27.0
286,B.1.617.2,20,20.0
287,B.1.617.2,37,12.0
288,B.1.617.2,28,29.0
289,B.1.617.2,11,35.0
290,B.1.617.2,16,22.0
291,B.1.617.2,24,35.0
292,B.1.617.2,25,32.0
293,B.1.617.2,25,34.0
294,B.1.617.2,21,10.0
295,B.1.617.2,14,14.0
296,B.1.617.2,14,25.0
297,B.1.617.2,8,24.0
298,B.1.617.2,25,36.0
299,B.1.617.2,22,49.0
300,B.1.617.2,23,29.0
301,B.1.617.2,20,49.0
302,B.1.617.2,16,25.0
303,B.1.617.2,11,38.0
304,B.1.617.2,11,39.0
305,B.1.617.2,33,34.0
306,B.1.617.2,14,26.0
307,B.1.617.2,15,23.0
308,B.1.617.2,24,23.0
309,B.1.617.2,19,33.0
310,B.1.617.2,19,40.0
311,B.1.617.2,9,35.0
312,B.1.617.2,27,12.0
313,B.1.617.2,15,33.0
314,B.1.617.2,15,9.0
315,B.1.617.2,20,31.0
316,B.1.617.2,18,24.0
317,B.1.617.2,13,43.0
318,B.1.617.2,9,30.0
319,B.1.617.2,27,22.0
320,B.1.617.2,16,5.0
321,B.1.617.2,9,3.0
322,B.1.617.2,26,11.0
323,B.1.617.2,10,14.0
324,B.1.617.2,12,8.0
325,B.1.617.2,9,2.0
326,B.1.617.2,8,6.0
327,B.1.617.2,17,4.0
328,B.1.617.2,17,3.0
329,B.1.617.2,13,3.0
330,B.1.617.2,14,3.0
331,B.1.617.2,9,1.0
332,B.1.617.2,13,1.0
333,B.1.617.2,7,2.0
334,B.1.617.2,18,1.0
335,B.1.617.2,15,2.0
336,B.1.617.2,9,1.0
337,B.1.617.2,14,1.0
338,B.1.617.2,15,3.0
339,B.1.617.2,12,2.0
340,B.1.617.2,20,
341,B.1.617.2,24,
342,B.1.617.2,12,
343,B.1.617.2,19,
344,B.1.617.2,15,
345,B.1.617.2,21,
346,B.1.617.2,7,
347,B.1.617.2,6,
348,B.1.617.2,14,
349,B.1.617.2,12,
351,B.1.617.2,22,
352,B.1.617.2,25,
353,B.1.617.2,21,
354,B.1.617.2,20,
355,B.1.617.2,20,
356,B.1.617.2,22,
357,B.1.617.2,26,
358,B.1.617.2,25,
359,B.1.617.2,24,
360,B.1.617.2,17,
361,B.1.617.2,16,
362,B.1.617.2,20,
363,B.1.617.2,26,
364,B.1.617.2,24,
365,B.1.617.2,11,
366,B.1.617.2,29,
367,B.1.617.2,6,
368,B.1.617.2,22,
369,B.1.617.2,22,
370,B.1.617.2,35,
371,B.1.617.2,25,
372,B.1.617.2,19,
373,B.1.617.2,4,
374,B.1.617.2,3,
375,B.1.617.2,6,
376,B.1.617.2,14,
377,B.1.617.2,7,
378,B.1.617.2,2,
381,B.1.617.2,6,
382,B.1.617.2,3,
383,B.1.617.2,3,
384,B.1.617.2,3,
385,B.1.617.2,3,
387,B.1.617.2,1,
388,B.1.617.2,1,
389,B.1.617.2,2,
390,B.1.617.2,1,
391,B.1.617.2,2,
392,B.1.617.2,1,
396,B.1.617.2,1,
404,B.1.617.2,2,
411,B.1.617.2,2,
