tick,date,annotation_3,importations,seq_count
193,2021-06-04,B.1.1.7,4,448.0
194,2021-06-05,B.1.617.2,3,91.0
195,2021-06-06,B.1.1.7,1,114.0
196,2021-06-07,B.1.1.7,1,134.0
197,2021-06-08,B.1.1.7,3,39.0
197,2021-06-08,B.1.617.2,2,255.0
198,2021-06-09,B.1.1.7,7,128.0
198,2021-06-09,B.1.617.2,4,127.0
199,2021-06-10,B.1.1.7,2,120.0
199,2021-06-10,B.1.617.2,1,183.0
200,2021-06-11,B.1.1.7,5,37.0
200,2021-06-11,B.1.617.2,1,37.0
201,2021-06-12,B.1.1.7,2,229.0
201,2021-06-12,B.1.617.2,1,135.0
203,2021-06-14,B.1.1.7,4,68.0
203,2021-06-14,B.1.617.2,3,376.0
204,2021-06-15,B.1.1.7,4,242.0
204,2021-06-15,B.1.617.2,2,49.0
205,2021-06-16,B.1.617.2,3,131.0
206,2021-06-17,B.1.617.2,3,284.0
207,2021-06-18,B.1.1.7,1,105.0
207,2021-06-18,B.1.617.2,3,210.0
208,2021-06-19,B.1.1.7,4,69.0
208,2021-06-19,B.1.617.2,2,148.0
209,2021-06-20,B.1.1.7,3,69.0
209,2021-06-20,B.1.617.2,4,24.0
210,2021-06-21,B.1.1.7,3,251.0
210,2021-06-21,B.1.617.2,3,109.0
211,2021-06-22,B.1.1.7,3,99.0
211,2021-06-22,B.1.617.2,2,118.0
212,2021-06-23,B.1.1.7,2,95.0
212,2021-06-23,B.1.617.2,4,143.0
214,2021-06-25,B.1.1.7,1,77.0
214,2021-06-25,B.1.617.2,4,214.0
215,2021-06-26,B.1.617.2,1,125.0
216,2021-06-27,B.1.617.2,3,103.0
217,2021-06-28,B.1.1.7,1,105.0
218,2021-06-29,B.1.1.7,1,46.0
218,2021-06-29,B.1.617.2,4,20.0
219,2021-06-30,B.1.1.7,1,15.0
219,2021-06-30,B.1.617.2,3,211.0
220,2021-07-01,B.1.617.2,10,43.0
221,2021-07-02,B.1.1.7,2,80.0
221,2021-07-02,B.1.617.2,8,156.0
222,2021-07-03,B.1.617.2,1,57.0
223,2021-07-04,B.1.617.2,1,33.0
224,2021-07-05,B.1.1.7,1,29.0
224,2021-07-05,B.1.617.2,3,64.0
225,2021-07-06,B.1.1.7,1,34.0
225,2021-07-06,B.1.617.2,16,50.0
226,2021-07-07,B.1.1.7,1,65.0
226,2021-07-07,B.1.617.2,17,70.0
227,2021-07-08,B.1.1.7,1,39.0
227,2021-07-08,B.1.617.2,8,5.0
228,2021-07-09,B.1.1.7,1,44.0
228,2021-07-09,B.1.617.2,3,96.0
229,2021-07-10,B.1.617.2,6,66.0
230,2021-07-11,B.1.1.7,1,119.0
230,2021-07-11,B.1.617.2,3,90.0
231,2021-07-12,B.1.1.7,3,82.0
231,2021-07-12,B.1.617.2,18,11.0
232,2021-07-13,B.1.617.2,16,25.0
233,2021-07-14,B.1.617.2,21,11.0
234,2021-07-15,B.1.1.7,1,49.0
234,2021-07-15,B.1.617.2,13,33.0
235,2021-07-16,B.1.1.7,1,39.0
235,2021-07-16,B.1.617.2,15,22.0
236,2021-07-17,B.1.617.2,11,70.0
237,2021-07-18,B.1.617.2,5,35.0
238,2021-07-19,B.1.1.7,3,187.0
238,2021-07-19,B.1.617.2,31,31.0
239,2021-07-20,B.1.1.7,1,16.0
239,2021-07-20,B.1.617.2,23,90.0
240,2021-07-21,B.1.617.2,15,203.0
241,2021-07-22,B.1.1.7,2,36.0
241,2021-07-22,B.1.617.2,18,58.0
242,2021-07-23,B.1.617.2,19,73.0
243,2021-07-24,B.1.617.2,16,76.0
244,2021-07-25,B.1.1.7,1,75.0
244,2021-07-25,B.1.617.2,9,162.0
245,2021-07-26,B.1.617.2,29,64.0
246,2021-07-27,B.1.617.2,26,15.0
247,2021-07-28,B.1.617.2,17,32.0
248,2021-07-29,B.1.1.7,2,83.0
248,2021-07-29,B.1.617.2,46,21.0
249,2021-07-30,B.1.617.2,30,40.0
250,2021-07-31,B.1.617.2,16,79.0
251,2021-08-01,B.1.617.2,15,32.0
252,2021-08-02,B.1.617.2,41,77.0
253,2021-08-03,B.1.617.2,22,103.0
254,2021-08-04,B.1.617.2,16,41.0
255,2021-08-05,B.1.617.2,19,50.0
256,2021-08-06,B.1.617.2,23,58.0
257,2021-08-07,B.1.617.2,26,67.0
258,2021-08-08,B.1.617.2,12,28.0
259,2021-08-09,B.1.617.2,32,8.0
260,2021-08-10,B.1.617.2,18,99.0
261,2021-08-11,B.1.617.2,25,52.0
262,2021-08-12,B.1.617.2,32,109.0
263,2021-08-13,B.1.617.2,36,46.0
264,2021-08-14,B.1.617.2,34,60.0
265,2021-08-15,B.1.617.2,11,27.0
266,2021-08-16,B.1.617.2,87,14.0
267,2021-08-17,B.1.617.2,55,35.0
268,2021-08-18,B.1.617.2,38,36.0
269,2021-08-19,B.1.617.2,37,51.0
270,2021-08-20,B.1.617.2,25,57.0
271,2021-08-21,B.1.617.2,13,91.0
272,2021-08-22,B.1.617.2,7,48.0
273,2021-08-23,B.1.617.2,18,8.0
274,2021-08-24,B.1.617.2,20,60.0
275,2021-08-25,B.1.617.2,30,52.0
276,2021-08-26,B.1.617.2,38,77.0
277,2021-08-27,B.1.1.7,1,25.0
277,2021-08-27,B.1.617.2,22,36.0
278,2021-08-28,B.1.617.2,18,35.0
279,2021-08-29,B.1.617.2,14,23.0
280,2021-08-30,B.1.617.2,25,100.0
281,2021-08-31,B.1.617.2,18,51.0
282,2021-09-01,B.1.617.2,17,81.0
283,2021-09-02,B.1.617.2,39,37.0
284,2021-09-03,B.1.617.2,21,62.0
285,2021-09-04,B.1.617.2,9,33.0
286,2021-09-05,B.1.617.2,2,11.0
287,2021-09-06,B.1.617.2,8,73.0
288,2021-09-07,B.1.617.2,51,33.0
289,2021-09-08,B.1.617.2,47,7.0
290,2021-09-09,B.1.617.2,37,37.0
291,2021-09-10,B.1.617.2,32,159.0
292,2021-09-11,B.1.617.2,13,29.0
293,2021-09-12,B.1.617.2,7,8.0
294,2021-09-13,B.1.617.2,16,56.0
295,2021-09-14,B.1.617.2,11,112.0
296,2021-09-15,B.1.617.2,12,42.0
297,2021-09-16,B.1.617.2,19,7.0
298,2021-09-17,B.1.617.2,24,58.0
299,2021-09-18,B.1.617.2,12,17.0
300,2021-09-19,B.1.617.2,9,13.0
301,2021-09-20,B.1.617.2,18,89.0
302,2021-09-21,B.1.617.2,37,53.0
303,2021-09-22,B.1.617.2,10,91.0
304,2021-09-23,B.1.617.2,8,85.0
305,2021-09-24,B.1.617.2,18,53.0
306,2021-09-25,B.1.617.2,38,25.0
307,2021-09-26,B.1.617.2,10,11.0
308,2021-09-27,B.1.617.2,13,20.0
309,2021-09-28,B.1.617.2,19,69.0
310,2021-09-29,B.1.617.2,23,57.0
311,2021-09-30,B.1.617.2,24,68.0
312,2021-10-01,B.1.617.2,43,81.0
313,2021-10-02,B.1.617.2,31,60.0
314,2021-10-03,B.1.617.2,10,27.0
315,2021-10-04,B.1.617.2,16,44.0
316,2021-10-05,B.1.617.2,33,34.0
317,2021-10-06,B.1.617.2,14,44.0
318,2021-10-07,B.1.617.2,17,24.0
319,2021-10-08,B.1.617.2,15,19.0
320,2021-10-09,B.1.617.2,13,9.0
321,2021-10-10,B.1.617.2,12,5.0
322,2021-10-11,B.1.617.2,37,12.0
323,2021-10-12,B.1.617.2,8,15.0
324,2021-10-13,B.1.617.2,14,12.0
325,2021-10-14,B.1.617.2,26,5.0
326,2021-10-15,B.1.617.2,26,5.0
327,2021-10-16,B.1.617.2,10,3.0
328,2021-10-17,B.1.617.2,5,9.0
329,2021-10-18,B.1.617.2,22,11.0
330,2021-10-19,B.1.617.2,22,8.0
331,2021-10-20,B.1.617.2,33,6.0
332,2021-10-21,B.1.617.2,22,4.0
333,2021-10-22,B.1.617.2,26,2.0
334,2021-10-23,B.1.617.2,11,2.0
335,2021-10-24,B.1.617.2,6,1.0
336,2021-10-25,B.1.617.2,15,2.0
337,2021-10-26,B.1.617.2,18,2.0
338,2021-10-27,B.1.617.2,18,4.0
339,2021-10-28,B.1.617.2,30,1.0
340,2021-10-29,B.1.617.2,28,1.0
341,2021-10-30,B.1.617.2,11,3.0
342,2021-10-31,B.1.617.2,5,3.0
343,2021-11-01,B.1.617.2,24,3.0
344,2021-11-02,B.1.617.2,22,1.0
345,2021-11-03,B.1.617.2,16,4.0
346,2021-11-04,B.1.617.2,14,1.0
347,2021-11-05,B.1.617.2,13,2.0
348,2021-11-06,B.1.617.2,12,1.0
349,2021-11-07,B.1.617.2,13,
350,2021-11-08,B.1.617.2,32,
351,2021-11-09,B.1.617.2,23,
352,2021-11-10,B.1.617.2,32,
353,2021-11-11,B.1.617.2,21,
354,2021-11-12,B.1.617.2,3,
355,2021-11-13,B.1.617.2,19,
356,2021-11-14,B.1.617.2,7,
357,2021-11-15,B.1.617.2,40,
358,2021-11-16,B.1.617.2,17,
359,2021-11-17,B.1.617.2,4,
360,2021-11-18,B.1.617.2,25,
361,2021-11-19,B.1.617.2,24,
362,2021-11-20,B.1.617.2,12,
363,2021-11-21,B.1.617.2,6,
364,2021-11-22,B.1.617.2,25,
365,2021-11-23,B.1.617.2,35,
366,2021-11-24,B.1.617.2,18,
367,2021-11-25,B.1.617.2,4,
368,2021-11-26,B.1.617.2,27,
369,2021-11-27,B.1.617.2,7,
370,2021-11-28,B.1.617.2,9,
371,2021-11-29,B.1.617.2,30,
372,2021-11-30,B.1.617.2,29,
373,2021-12-01,B.1.617.2,45,
374,2021-12-02,B.1.617.2,50,
375,2021-12-03,B.1.617.2,36,
376,2021-12-04,B.1.617.2,23,
377,2021-12-05,B.1.617.2,10,
378,2021-12-06,B.1.617.2,15,
379,2021-12-07,B.1.617.2,19,
380,2021-12-08,B.1.617.2,28,
381,2021-12-09,B.1.617.2,27,
382,2021-12-10,B.1.617.2,39,
383,2021-12-11,B.1.617.2,33,
384,2021-12-12,B.1.617.2,14,
385,2021-12-13,B.1.617.2,28,
386,2021-12-14,B.1.617.2,27,
387,2021-12-15,B.1.617.2,21,
388,2021-12-16,B.1.617.2,19,
389,2021-12-17,B.1.617.2,16,
390,2021-12-18,B.1.617.2,9,
391,2021-12-19,B.1.617.2,3,
392,2021-12-20,B.1.617.2,9,
393,2021-12-21,B.1.617.2,13,
394,2021-12-22,B.1.617.2,7,
395,2021-12-23,B.1.617.2,5,
396,2021-12-24,B.1.617.2,5,
398,2021-12-26,B.1.617.2,3,
399,2021-12-27,B.1.617.2,7,
400,2021-12-28,B.1.617.2,8,
401,2021-12-29,B.1.617.2,7,
402,2021-12-30,B.1.617.2,4,
403,2021-12-31,B.1.617.2,3,
404,2022-01-01,B.1.617.2,1,
405,2022-01-02,B.1.617.2,2,
406,2022-01-03,B.1.617.2,1,
407,2022-01-04,B.1.617.2,2,
408,2022-01-05,B.1.617.2,2,
409,2022-01-06,B.1.617.2,2,
410,2022-01-07,B.1.617.2,1,
411,2022-01-08,B.1.617.2,1,
412,2022-01-09,B.1.617.2,1,
413,2022-01-10,B.1.617.2,3,
414,2022-01-11,B.1.617.2,2,
416,2022-01-13,B.1.617.2,1,
421,2022-01-18,B.1.617.2,3,
427,2022-01-24,B.1.617.2,1,
429,2022-01-26,B.1.617.2,2,
700,2022-10-24,B.1.617.2,1,
