tick,date,annotation_3,importations,seq_count
0,2020-11-23,B.1.1.7,1,494.0
47,2021-01-09,B.1.1.7,1,2.0
50,2021-01-12,B.1.1.7,1,164.0
51,2021-01-13,B.1.1.7,1,1.0
54,2021-01-16,B.1.1.7,1,2.0
64,2021-01-26,B.1.1.7,1,2.0
67,2021-01-29,B.1.1.7,2,11.0
71,2021-02-02,B.1.1.7,1,375.0
72,2021-02-03,B.1.1.7,1,574.0
74,2021-02-05,B.1.1.7,1,1.0
80,2021-02-11,B.1.1.7,2,93.0
85,2021-02-16,B.1.1.7,1,1.0
86,2021-02-17,B.1.1.7,2,3.0
92,2021-02-23,B.1.1.7,1,2.0
93,2021-02-24,B.1.1.7,2,7.0
94,2021-02-25,B.1.1.7,1,7.0
96,2021-02-27,B.1.1.7,1,12.0
99,2021-03-02,B.1.1.7,1,2241.0
100,2021-03-03,B.1.1.7,3,48.0
101,2021-03-04,B.1.1.7,2,2.0
105,2021-03-08,B.1.1.7,6,15.0
106,2021-03-09,B.1.1.7,1,1.0
107,2021-03-10,B.1.1.7,2,3.0
109,2021-03-12,B.1.1.7,6,89.0
110,2021-03-13,B.1.1.7,1,1.0
111,2021-03-14,B.1.1.7,1,5.0
112,2021-03-15,B.1.1.7,7,40.0
113,2021-03-16,B.1.1.7,8,298.0
114,2021-03-17,B.1.1.7,4,36.0
115,2021-03-18,B.1.1.7,2,16.0
116,2021-03-19,B.1.1.7,7,31.0
117,2021-03-20,B.1.1.7,5,35.0
118,2021-03-21,B.1.1.7,2,2.0
119,2021-03-22,B.1.1.7,9,75.0
120,2021-03-23,B.1.1.7,6,21.0
121,2021-03-24,B.1.1.7,2,48.0
122,2021-03-25,B.1.1.7,4,9.0
123,2021-03-26,B.1.1.7,5,82.0
124,2021-03-27,B.1.1.7,2,50.0
125,2021-03-28,B.1.1.7,2,14.0
126,2021-03-29,B.1.1.7,4,21.0
127,2021-03-30,B.1.1.7,5,5.0
128,2021-03-31,B.1.1.7,6,269.0
129,2021-04-01,B.1.1.7,6,142.0
130,2021-04-02,B.1.1.7,13,119.0
131,2021-04-03,B.1.1.7,3,8.0
131,2021-04-03,B.1.617.2,1,1.0
132,2021-04-04,B.1.1.7,1,76.0
133,2021-04-05,B.1.1.7,13,36.0
134,2021-04-06,B.1.1.7,7,74.0
135,2021-04-07,B.1.1.7,10,10.0
136,2021-04-08,B.1.1.7,5,182.0
137,2021-04-09,B.1.1.7,9,71.0
137,2021-04-09,B.1.617.2,1,5.0
138,2021-04-10,B.1.1.7,7,5833.0
138,2021-04-10,B.1.617.2,1,96.0
139,2021-04-11,B.1.1.7,2,45.0
140,2021-04-12,B.1.1.7,7,21.0
140,2021-04-12,B.1.617.2,3,32.0
141,2021-04-13,B.1.1.7,13,49.0
141,2021-04-13,B.1.617.2,1,12.0
142,2021-04-14,B.1.1.7,13,874.0
143,2021-04-15,B.1.1.7,10,77.0
143,2021-04-15,B.1.617.2,1,14.0
144,2021-04-16,B.1.1.7,7,25.0
144,2021-04-16,B.1.617.2,1,24.0
145,2021-04-17,B.1.1.7,12,22.0
145,2021-04-17,B.1.617.2,1,52.0
146,2021-04-18,B.1.1.7,2,18.0
147,2021-04-19,B.1.1.7,10,171.0
147,2021-04-19,B.1.617.2,5,13.0
148,2021-04-20,B.1.1.7,20,17.0
148,2021-04-20,B.1.617.2,3,6.0
149,2021-04-21,B.1.1.7,4,4.0
149,2021-04-21,B.1.617.2,5,61.0
150,2021-04-22,B.1.1.7,13,21.0
150,2021-04-22,B.1.617.2,1,14.0
151,2021-04-23,B.1.1.7,8,261.0
151,2021-04-23,B.1.617.2,1,7.0
152,2021-04-24,B.1.1.7,5,24.0
152,2021-04-24,B.1.617.2,1,5.0
154,2021-04-26,B.1.1.7,11,2401.0
154,2021-04-26,B.1.617.2,1,22.0
155,2021-04-27,B.1.1.7,7,6852.0
155,2021-04-27,B.1.617.2,4,62.0
156,2021-04-28,B.1.1.7,13,30.0
156,2021-04-28,B.1.617.2,1,16.0
157,2021-04-29,B.1.1.7,10,2.0
158,2021-04-30,B.1.1.7,5,6.0
159,2021-05-01,B.1.1.7,5,722.0
160,2021-05-02,B.1.1.7,1,9.0
160,2021-05-02,B.1.617.2,1,16.0
161,2021-05-03,B.1.1.7,19,32.0
161,2021-05-03,B.1.617.2,2,3.0
162,2021-05-04,B.1.1.7,9,70.0
162,2021-05-04,B.1.617.2,4,21.0
163,2021-05-05,B.1.1.7,7,15.0
163,2021-05-05,B.1.617.2,1,4.0
164,2021-05-06,B.1.1.7,8,33.0
164,2021-05-06,B.1.617.2,1,3.0
165,2021-05-07,B.1.1.7,7,16.0
166,2021-05-08,B.1.1.7,2,3.0
166,2021-05-08,B.1.617.2,1,8.0
167,2021-05-09,B.1.1.7,1,10.0
168,2021-05-10,B.1.1.7,8,14.0
168,2021-05-10,B.1.617.2,3,36.0
169,2021-05-11,B.1.1.7,8,453.0
170,2021-05-12,B.1.1.7,11,1.0
170,2021-05-12,B.1.617.2,2,2.0
171,2021-05-13,B.1.1.7,8,8.0
171,2021-05-13,B.1.617.2,1,163.0
172,2021-05-14,B.1.1.7,5,3.0
173,2021-05-15,B.1.1.7,5,12.0
173,2021-05-15,B.1.617.2,1,22.0
174,2021-05-16,B.1.1.7,2,471.0
175,2021-05-17,B.1.1.7,4,105.0
175,2021-05-17,B.1.617.2,1,467.0
176,2021-05-18,B.1.1.7,8,279.0
176,2021-05-18,B.1.617.2,1,319.0
177,2021-05-19,B.1.1.7,5,7.0
177,2021-05-19,B.1.617.2,1,140.0
178,2021-05-20,B.1.1.7,8,3336.0
179,2021-05-21,B.1.1.7,3,22.0
179,2021-05-21,B.1.617.2,1,20.0
181,2021-05-23,B.1.1.7,2,17.0
182,2021-05-24,B.1.1.7,6,135.0
182,2021-05-24,B.1.617.2,2,5.0
183,2021-05-25,B.1.1.7,4,1.0
183,2021-05-25,B.1.617.2,1,103.0
184,2021-05-26,B.1.1.7,3,9.0
184,2021-05-26,B.1.617.2,2,124.0
185,2021-05-27,B.1.1.7,1,437.0
185,2021-05-27,B.1.617.2,1,2.0
186,2021-05-28,B.1.1.7,4,2.0
186,2021-05-28,B.1.617.2,2,49.0
187,2021-05-29,B.1.1.7,2,409.0
188,2021-05-30,B.1.1.7,3,143.0
189,2021-05-31,B.1.1.7,1,51.0
190,2021-06-01,B.1.1.7,3,85.0
190,2021-06-01,B.1.617.2,1,13.0
191,2021-06-02,B.1.1.7,3,11.0
191,2021-06-02,B.1.617.2,1,573.0
192,2021-06-03,B.1.1.7,4,44.0
