tick,date,variant,importations,seq_count
0,2021-01-16,B.1.1.7,2,683.0
3,2021-01-19,B.1.1.7,1,391.0
9,2021-01-25,B.1.1.7,1,141.0
23,2021-02-08,B.1.1.7,1,230.0
30,2021-02-15,B.1.1.7,1,1.0
35,2021-02-20,B.1.1.7,1,92.0
37,2021-02-22,B.1.1.7,1,1.0
40,2021-02-25,B.1.1.7,1,18.0
42,2021-02-27,B.1.1.7,2,4.0
43,2021-02-28,B.1.1.7,1,1.0
44,2021-03-01,B.1.1.7,1,1.0
45,2021-03-02,B.1.1.7,1,7.0
46,2021-03-03,B.1.1.7,1,1.0
50,2021-03-07,B.1.1.7,3,3.0
51,2021-03-08,B.1.1.7,3,7.0
53,2021-03-10,B.1.1.7,1,1.0
54,2021-03-11,B.1.1.7,4,28.0
55,2021-03-12,B.1.1.7,1,2.0
56,2021-03-13,B.1.1.7,1,3.0
57,2021-03-14,B.1.1.7,2,16.0
58,2021-03-15,B.1.1.7,1,8.0
59,2021-03-16,B.1.1.7,2,9.0
60,2021-03-17,B.1.1.7,5,13.0
61,2021-03-18,B.1.1.7,6,23.0
62,2021-03-19,B.1.1.7,3,55.0
63,2021-03-20,B.1.1.7,1,1.0
64,2021-03-21,B.1.1.7,3,56.0
65,2021-03-22,B.1.1.7,4,21.0
66,2021-03-23,B.1.1.7,5,5.0
67,2021-03-24,B.1.1.7,4,14.0
68,2021-03-25,B.1.1.7,8,11.0
69,2021-03-26,B.1.1.7,4,5.0
70,2021-03-27,B.1.1.7,2,54.0
71,2021-03-28,B.1.1.7,3,4.0
72,2021-03-29,B.1.1.7,7,17.0
73,2021-03-30,B.1.1.7,7,39.0
74,2021-03-31,B.1.1.7,14,65.0
75,2021-04-01,B.1.1.7,8,16.0
76,2021-04-02,B.1.1.7,4,21.0
78,2021-04-04,B.1.1.7,4,12.0
79,2021-04-05,B.1.1.7,4,5.0
80,2021-04-06,B.1.1.7,4,39.0
81,2021-04-07,B.1.1.7,7,24.0
81,2021-04-07,B.1.617.2,1,42.0
82,2021-04-08,B.1.1.7,14,6.0
83,2021-04-09,B.1.1.7,5,2.0
84,2021-04-10,B.1.1.7,2,6.0
85,2021-04-11,B.1.1.7,3,3.0
86,2021-04-12,B.1.1.7,1,4.0
86,2021-04-12,B.1.617.2,1,22.0
87,2021-04-13,B.1.1.7,4,29.0
88,2021-04-14,B.1.1.7,11,18.0
89,2021-04-15,B.1.1.7,10,13.0
89,2021-04-15,B.1.617.2,1,6.0
90,2021-04-16,B.1.1.7,10,5.0
91,2021-04-17,B.1.1.7,6,8.0
92,2021-04-18,B.1.1.7,2,14.0
93,2021-04-19,B.1.1.7,5,14.0
94,2021-04-20,B.1.1.7,6,11.0
95,2021-04-21,B.1.1.7,8,15.0
96,2021-04-22,B.1.1.7,6,7.0
96,2021-04-22,B.1.617.2,1,26.0
97,2021-04-23,B.1.1.7,5,26.0
97,2021-04-23,B.1.617.2,1,11.0
98,2021-04-24,B.1.1.7,2,3236.0
98,2021-04-24,B.1.617.2,2,14.0
99,2021-04-25,B.1.1.7,5,16.0
100,2021-04-26,B.1.1.7,10,9.0
101,2021-04-27,B.1.1.7,5,8.0
