tick,date,variant,importations,seq_count
101,2021-04-27,B.1.617.2,1,34.0
102,2021-04-28,B.1.1.7,7,11.0
103,2021-04-29,B.1.1.7,8,12.0
103,2021-04-29,B.1.617.2,1,2.0
104,2021-04-30,B.1.1.7,4,19.0
105,2021-05-01,B.1.1.7,2,1.0
105,2021-05-01,B.1.617.2,1,15.0
106,2021-05-02,B.1.1.7,4,17.0
107,2021-05-03,B.1.1.7,4,16.0
108,2021-05-04,B.1.1.7,11,11.0
108,2021-05-04,B.1.617.2,1,115.0
109,2021-05-05,B.1.1.7,5,26.0
110,2021-05-06,B.1.1.7,6,14.0
111,2021-05-07,B.1.1.7,2,15.0
112,2021-05-08,B.1.1.7,9,7.0
113,2021-05-09,B.1.1.7,1,9.0
114,2021-05-10,B.1.1.7,7,2.0
115,2021-05-11,B.1.1.7,3,7.0
115,2021-05-11,B.1.617.2,1,4.0
116,2021-05-12,B.1.1.7,6,2.0
117,2021-05-13,B.1.1.7,6,2.0
118,2021-05-14,B.1.1.7,5,14.0
118,2021-05-14,B.1.617.2,1,4.0
119,2021-05-15,B.1.1.7,4,819.0
119,2021-05-15,B.1.617.2,1,12.0
120,2021-05-16,B.1.1.7,3,14.0
121,2021-05-17,B.1.1.7,6,6.0
121,2021-05-17,B.1.617.2,1,4.0
122,2021-05-18,B.1.1.7,5,6.0
123,2021-05-19,B.1.1.7,3,7.0
123,2021-05-19,B.1.617.2,1,3.0
124,2021-05-20,B.1.1.7,1,7.0
125,2021-05-21,B.1.1.7,4,3.0
126,2021-05-22,B.1.1.7,3,7.0
127,2021-05-23,B.1.1.7,2,5.0
128,2021-05-24,B.1.1.7,2,20.0
129,2021-05-25,B.1.1.7,2,50.0
130,2021-05-26,B.1.1.7,3,16.0
131,2021-05-27,B.1.1.7,5,1.0
131,2021-05-27,B.1.617.2,1,283.0
132,2021-05-28,B.1.1.7,1,6.0
133,2021-05-29,B.1.1.7,4,962.0
134,2021-05-30,B.1.1.7,3,2.0
134,2021-05-30,B.1.617.2,1,4.0
135,2021-05-31,B.1.1.7,3,2.0
136,2021-06-01,B.1.1.7,3,116.0
137,2021-06-02,B.1.1.7,3,101.0
139,2021-06-04,B.1.1.7,2,12.0
140,2021-06-05,B.1.1.7,3,1.0
141,2021-06-06,B.1.1.7,2,16.0
142,2021-06-07,B.1.1.7,2,1.0
142,2021-06-07,B.1.617.2,2,185.0
143,2021-06-08,B.1.1.7,2,196.0
144,2021-06-09,B.1.1.7,4,14.0
144,2021-06-09,B.1.617.2,1,2.0
145,2021-06-10,B.1.1.7,2,55.0
145,2021-06-10,B.1.617.2,2,113.0
147,2021-06-12,B.1.1.7,3,26.0
147,2021-06-12,B.1.617.2,1,47.0
148,2021-06-13,B.1.1.7,1,1.0
149,2021-06-14,B.1.1.7,3,1276.0
149,2021-06-14,B.1.617.2,1,60.0
150,2021-06-15,B.1.1.7,4,8.0
150,2021-06-15,B.1.617.2,1,27.0
151,2021-06-16,B.1.1.7,1,227.0
151,2021-06-16,B.1.617.2,5,7.0
152,2021-06-17,B.1.617.2,2,5.0
153,2021-06-18,B.1.1.7,2,76.0
154,2021-06-19,B.1.1.7,1,54.0
156,2021-06-21,B.1.1.7,3,271.0
156,2021-06-21,B.1.617.2,3,35.0
157,2021-06-22,B.1.1.7,1,67.0
157,2021-06-22,B.1.617.2,1,183.0
159,2021-06-24,B.1.1.7,1,28.0
159,2021-06-24,B.1.617.2,1,47.0
160,2021-06-25,B.1.1.7,1,78.0
161,2021-06-26,B.1.1.7,2,59.0
161,2021-06-26,B.1.617.2,3,126.0
162,2021-06-27,B.1.617.2,1,362.0
163,2021-06-28,B.1.617.2,4,330.0
164,2021-06-29,B.1.1.7,1,52.0
164,2021-06-29,B.1.617.2,3,201.0
165,2021-06-30,B.1.1.7,2,476.0
165,2021-06-30,B.1.617.2,5,88.0
166,2021-07-01,B.1.617.2,1,99.0
167,2021-07-02,B.1.617.2,3,137.0
168,2021-07-03,B.1.1.7,3,72.0
168,2021-07-03,B.1.617.2,4,129.0
170,2021-07-05,B.1.617.2,2,102.0
171,2021-07-06,B.1.1.7,2,151.0
171,2021-07-06,B.1.617.2,3,52.0
172,2021-07-07,B.1.1.7,1,36.0
173,2021-07-08,B.1.617.2,6,106.0
174,2021-07-09,B.1.1.7,1,75.0
174,2021-07-09,B.1.617.2,3,21.0
175,2021-07-10,B.1.617.2,3,34.0
176,2021-07-11,B.1.617.2,3,15.0
177,2021-07-12,B.1.617.2,4,40.0
178,2021-07-13,B.1.1.7,1,12.0
178,2021-07-13,B.1.617.2,5,131.0
179,2021-07-14,B.1.617.2,5,97.0
180,2021-07-15,B.1.617.2,4,58.0
181,2021-07-16,B.1.617.2,5,62.0
182,2021-07-17,B.1.617.2,4,40.0
183,2021-07-18,B.1.1.7,2,10.0
183,2021-07-18,B.1.617.2,8,27.0
184,2021-07-19,B.1.1.7,1,37.0
184,2021-07-19,B.1.617.2,6,91.0
185,2021-07-20,B.1.1.7,1,73.0
185,2021-07-20,B.1.617.2,13,31.0
186,2021-07-21,B.1.617.2,10,121.0
187,2021-07-22,B.1.617.2,13,21.0
188,2021-07-23,B.1.617.2,12,7.0
189,2021-07-24,B.1.1.7,1,51.0
189,2021-07-24,B.1.617.2,12,125.0
190,2021-07-25,B.1.617.2,13,31.0
191,2021-07-26,B.1.617.2,21,46.0
192,2021-07-27,B.1.617.2,21,29.0
193,2021-07-28,B.1.617.2,22,27.0
194,2021-07-29,B.1.617.2,21,28.0
195,2021-07-30,B.1.617.2,16,64.0
196,2021-07-31,B.1.617.2,14,127.0
197,2021-08-01,B.1.1.7,2,41.0
197,2021-08-01,B.1.617.2,18,24.0
198,2021-08-02,B.1.617.2,28,153.0
199,2021-08-03,B.1.1.7,1,50.0
199,2021-08-03,B.1.617.2,26,46.0
200,2021-08-04,B.1.617.2,32,45.0
201,2021-08-05,B.1.617.2,28,98.0
202,2021-08-06,B.1.617.2,17,18.0
203,2021-08-07,B.1.617.2,15,72.0
204,2021-08-08,B.1.617.2,19,42.0
205,2021-08-09,B.1.617.2,38,18.0
206,2021-08-10,B.1.1.7,1,32.0
206,2021-08-10,B.1.617.2,29,84.0
207,2021-08-11,B.1.617.2,17,123.0
208,2021-08-12,B.1.617.2,13,36.0
209,2021-08-13,B.1.617.2,5,45.0
210,2021-08-14,B.1.617.2,10,74.0
211,2021-08-15,B.1.617.2,9,9.0
212,2021-08-16,B.1.617.2,28,18.0
213,2021-08-17,B.1.617.2,23,96.0
214,2021-08-18,B.1.617.2,27,74.0
215,2021-08-19,B.1.617.2,15,44.0
216,2021-08-20,B.1.617.2,11,15.0
217,2021-08-21,B.1.617.2,8,28.0
218,2021-08-22,B.1.617.2,7,22.0
219,2021-08-23,B.1.617.2,15,18.0
220,2021-08-24,B.1.617.2,34,116.0
221,2021-08-25,B.1.617.2,32,79.0
222,2021-08-26,B.1.617.2,20,32.0
223,2021-08-27,B.1.617.2,15,17.0
224,2021-08-28,B.1.617.2,14,113.0
225,2021-08-29,B.1.617.2,6,12.0
226,2021-08-30,B.1.617.2,28,20.0
227,2021-08-31,B.1.617.2,42,47.0
228,2021-09-01,B.1.617.2,19,16.0
229,2021-09-02,B.1.617.2,27,94.0
230,2021-09-03,B.1.617.2,13,136.0
231,2021-09-04,B.1.617.2,12,60.0
232,2021-09-05,B.1.617.2,10,18.0
233,2021-09-06,B.1.617.2,16,36.0
234,2021-09-07,B.1.617.2,50,51.0
235,2021-09-08,B.1.617.2,20,73.0
236,2021-09-09,B.1.1.7,1,30.0
236,2021-09-09,B.1.617.2,15,27.0
237,2021-09-10,B.1.617.2,29,19.0
238,2021-09-11,B.1.617.2,9,42.0
239,2021-09-12,B.1.617.2,16,29.0
240,2021-09-13,B.1.617.2,22,109.0
241,2021-09-14,B.1.617.2,35,55.0
242,2021-09-15,B.1.617.2,13,77.0
243,2021-09-16,B.1.617.2,24,35.0
244,2021-09-17,B.1.617.2,26,42.0
245,2021-09-18,B.1.617.2,9,46.0
246,2021-09-19,B.1.617.2,11,52.0
247,2021-09-20,B.1.617.2,40,35.0
248,2021-09-21,B.1.617.2,34,24.0
249,2021-09-22,B.1.617.2,19,61.0
250,2021-09-23,B.1.617.2,14,55.0
251,2021-09-24,B.1.617.2,16,40.0
252,2021-09-25,B.1.617.2,6,27.0
253,2021-09-26,B.1.617.2,9,36.0
254,2021-09-27,B.1.617.2,23,72.0
255,2021-09-28,B.1.617.2,40,60.0
256,2021-09-29,B.1.617.2,25,80.0
257,2021-09-30,B.1.617.2,10,58.0
258,2021-10-01,B.1.617.2,17,23.0
259,2021-10-02,B.1.617.2,12,61.0
260,2021-10-03,B.1.617.2,9,8.0
261,2021-10-04,B.1.617.2,39,44.0
262,2021-10-05,B.1.617.2,46,63.0
263,2021-10-06,B.1.617.2,19,45.0
264,2021-10-07,B.1.617.2,12,41.0
265,2021-10-08,B.1.617.2,16,35.0
266,2021-10-09,B.1.617.2,6,23.0
267,2021-10-10,B.1.617.2,5,3.0
268,2021-10-11,B.1.617.2,19,44.0
269,2021-10-12,B.1.617.2,14,61.0
270,2021-10-13,B.1.617.2,36,35.0
271,2021-10-14,B.1.617.2,30,9.0
272,2021-10-15,B.1.617.2,26,53.0
273,2021-10-16,B.1.617.2,7,11.0
274,2021-10-17,B.1.617.2,5,21.0
275,2021-10-18,B.1.617.2,19,59.0
276,2021-10-19,B.1.617.2,31,99.0
277,2021-10-20,B.1.1.7,1,100.0
277,2021-10-20,B.1.617.2,21,43.0
278,2021-10-21,B.1.617.2,23,40.0
279,2021-10-22,B.1.617.2,11,24.0
280,2021-10-23,B.1.617.2,15,10.0
281,2021-10-24,B.1.617.2,17,60.0
282,2021-10-25,B.1.617.2,25,75.0
283,2021-10-26,B.1.617.2,14,53.0
284,2021-10-27,B.1.617.2,25,37.0
285,2021-10-28,B.1.617.2,24,36.0
286,2021-10-29,B.1.617.2,29,12.0
287,2021-10-30,B.1.617.2,25,6.0
288,2021-10-31,B.1.617.2,14,71.0
289,2021-11-01,B.1.617.2,22,33.0
290,2021-11-02,B.1.617.2,10,36.0
291,2021-11-03,B.1.617.2,25,19.0
292,2021-11-04,B.1.617.2,17,16.0
293,2021-11-05,B.1.617.2,17,6.0
294,2021-11-06,B.1.617.2,9,11.0
295,2021-11-07,B.1.617.2,19,14.0
296,2021-11-08,B.1.617.2,24,20.0
297,2021-11-09,B.1.617.2,25,20.0
298,2021-11-10,B.1.617.2,27,8.0
299,2021-11-11,B.1.617.2,25,2.0
300,2021-11-12,B.1.617.2,6,14.0
301,2021-11-13,B.1.617.2,14,10.0
302,2021-11-14,B.1.617.2,5,10.0
303,2021-11-15,B.1.617.2,19,5.0
304,2021-11-16,B.1.617.2,32,7.0
305,2021-11-17,B.1.617.2,22,2.0
306,2021-11-18,B.1.617.2,28,2.0
307,2021-11-19,B.1.617.2,21,8.0
308,2021-11-20,B.1.617.2,7,7.0
309,2021-11-21,B.1.617.2,2,4.0
310,2021-11-22,B.1.617.2,19,3.0
311,2021-11-23,B.1.617.2,27,4.0
312,2021-11-24,B.1.617.2,22,3.0
313,2021-11-25,B.1.617.2,4,2.0
314,2021-11-26,B.1.617.2,34,1.0
315,2021-11-27,B.1.617.2,6,1.0
316,2021-11-28,B.1.617.2,12,1.0
317,2021-11-29,B.1.617.2,26,1.0
318,2021-11-30,B.1.617.2,50,1.0
319,2021-12-01,B.1.1.7,1,1.0
319,2021-12-01,B.1.617.2,71,1.0
320,2021-12-02,B.1.617.2,21,1.0
321,2021-12-03,B.1.617.2,26,1.0
322,2021-12-04,B.1.617.2,13,1.0
323,2021-12-05,B.1.617.2,9,
324,2021-12-06,B.1.617.2,41,
325,2021-12-07,B.1.617.2,44,
326,2021-12-08,B.1.617.2,30,
327,2021-12-09,B.1.617.2,26,
328,2021-12-10,B.1.617.2,20,
329,2021-12-11,B.1.617.2,10,
330,2021-12-12,B.1.617.2,6,
331,2021-12-13,B.1.617.2,51,
332,2021-12-14,B.1.617.2,26,
333,2021-12-15,B.1.617.2,25,
334,2021-12-16,B.1.617.2,13,
335,2021-12-17,B.1.617.2,14,
336,2021-12-18,B.1.617.2,5,
337,2021-12-19,B.1.617.2,9,
338,2021-12-20,B.1.617.2,12,
339,2021-12-21,B.1.617.2,14,
340,2021-12-22,B.1.617.2,15,
341,2021-12-23,B.1.617.2,7,
343,2021-12-25,B.1.617.2,1,
344,2021-12-26,B.1.617.2,11,
345,2021-12-27,B.1.617.2,7,
346,2021-12-28,B.1.617.2,7,
347,2021-12-29,B.1.617.2,5,
348,2021-12-30,B.1.617.2,5,
349,2021-12-31,B.1.617.2,2,
350,2022-01-01,B.1.617.2,1,
351,2022-01-02,B.1.617.2,5,
352,2022-01-03,B.1.617.2,7,
353,2022-01-04,B.1.617.2,4,
354,2022-01-05,B.1.617.2,3,
355,2022-01-06,B.1.617.2,2,
356,2022-01-07,B.1.617.2,3,
357,2022-01-08,B.1.617.2,2,
358,2022-01-09,B.1.617.2,1,
359,2022-01-10,B.1.617.2,1,
360,2022-01-11,B.1.617.2,1,
361,2022-01-12,B.1.617.2,1,
362,2022-01-13,B.1.617.2,1,
374,2022-01-25,B.1.617.2,1,
375,2022-01-26,B.1.617.2,1,
380,2022-01-31,B.1.617.2,1,
444,2022-04-05,B.1.617.2,1,
522,2022-06-22,B.1.617.2,1,
