tick,date,annotation_3,importations,seq_count
114,2021-04-29,B.1.1.7,13,10.0
115,2021-04-30,B.1.1.7,9,2.0
115,2021-04-30,B.1.617.2,1,7.0
116,2021-05-01,B.1.1.7,4,5.0
117,2021-05-02,B.1.1.7,2,10.0
117,2021-05-02,B.1.617.2,1,3.0
118,2021-05-03,B.1.1.7,8,2.0
119,2021-05-04,B.1.1.7,9,7.0
119,2021-05-04,B.1.617.2,1,1.0
120,2021-05-05,B.1.1.7,7,1.0
121,2021-05-06,B.1.1.7,7,1.0
122,2021-05-07,B.1.1.7,7,1.0
122,2021-05-07,B.1.617.2,1,2.0
123,2021-05-08,B.1.617.2,2,6.0
124,2021-05-09,B.1.1.7,3,5.0
125,2021-05-10,B.1.1.7,9,3.0
126,2021-05-11,B.1.1.7,6,8.0
127,2021-05-12,B.1.1.7,5,5.0
127,2021-05-12,B.1.617.2,1,5.0
128,2021-05-13,B.1.1.7,8,7.0
129,2021-05-14,B.1.1.7,3,2.0
129,2021-05-14,B.1.617.2,1,15.0
130,2021-05-15,B.1.1.7,1,3.0
130,2021-05-15,B.1.617.2,1,3.0
131,2021-05-16,B.1.1.7,3,7.0
132,2021-05-17,B.1.1.7,3,1.0
133,2021-05-18,B.1.1.7,4,303.0
133,2021-05-18,B.1.617.2,1,14.0
134,2021-05-19,B.1.1.7,2,1.0
134,2021-05-19,B.1.617.2,1,1.0
135,2021-05-20,B.1.1.7,2,340.0
136,2021-05-21,B.1.1.7,3,5.0
137,2021-05-22,B.1.1.7,1,2625.0
138,2021-05-23,B.1.1.7,1,4243.0
139,2021-05-24,B.1.1.7,1,74.0
140,2021-05-25,B.1.1.7,1,3.0
141,2021-05-26,B.1.617.2,1,5.0
142,2021-05-27,B.1.1.7,2,7322.0
142,2021-05-27,B.1.617.2,1,20.0
143,2021-05-28,B.1.1.7,3,701.0
143,2021-05-28,B.1.617.2,1,1.0
144,2021-05-29,B.1.1.7,3,57.0
147,2021-06-01,B.1.1.7,4,740.0
148,2021-06-02,B.1.1.7,1,3579.0
148,2021-06-02,B.1.617.2,1,4.0
150,2021-06-04,B.1.617.2,2,1.0
151,2021-06-05,B.1.1.7,2,349.0
152,2021-06-06,B.1.1.7,1,1605.0
152,2021-06-06,B.1.617.2,1,539.0
153,2021-06-07,B.1.1.7,6,23.0
153,2021-06-07,B.1.617.2,1,13.0
154,2021-06-08,B.1.1.7,2,744.0
155,2021-06-09,B.1.1.7,2,27.0
156,2021-06-10,B.1.1.7,2,51.0
157,2021-06-11,B.1.1.7,1,454.0
159,2021-06-13,B.1.617.2,1,26.0
160,2021-06-14,B.1.617.2,2,662.0
161,2021-06-15,B.1.1.7,1,231.0
162,2021-06-16,B.1.617.2,1,21.0
163,2021-06-17,B.1.617.2,2,2706.0
164,2021-06-18,B.1.1.7,2,543.0
164,2021-06-18,B.1.617.2,2,172.0
165,2021-06-19,B.1.1.7,1,282.0
165,2021-06-19,B.1.617.2,1,281.0
168,2021-06-22,B.1.1.7,1,719.0
168,2021-06-22,B.1.617.2,2,27.0
169,2021-06-23,B.1.1.7,1,1981.0
169,2021-06-23,B.1.617.2,3,63.0
170,2021-06-24,B.1.617.2,2,569.0
171,2021-06-25,B.1.617.2,1,65.0
172,2021-06-26,B.1.617.2,4,1336.0
173,2021-06-27,B.1.1.7,1,143.0
173,2021-06-27,B.1.617.2,1,83.0
174,2021-06-28,B.1.1.7,1,224.0
174,2021-06-28,B.1.617.2,3,269.0
175,2021-06-29,B.1.617.2,1,241.0
176,2021-06-30,B.1.617.2,2,118.0
177,2021-07-01,B.1.1.7,1,131.0
177,2021-07-01,B.1.617.2,4,312.0
178,2021-07-02,B.1.617.2,4,2161.0
179,2021-07-03,B.1.1.7,1,500.0
179,2021-07-03,B.1.617.2,2,525.0
180,2021-07-04,B.1.617.2,1,222.0
181,2021-07-05,B.1.1.7,1,743.0
181,2021-07-05,B.1.617.2,4,235.0
182,2021-07-06,B.1.617.2,4,75.0
183,2021-07-07,B.1.617.2,7,72.0
184,2021-07-08,B.1.617.2,4,69.0
185,2021-07-09,B.1.1.7,2,196.0
185,2021-07-09,B.1.617.2,3,87.0
186,2021-07-10,B.1.617.2,4,240.0
187,2021-07-11,B.1.1.7,1,88.0
187,2021-07-11,B.1.617.2,4,72.0
188,2021-07-12,B.1.1.7,2,489.0
188,2021-07-12,B.1.617.2,7,245.0
189,2021-07-13,B.1.617.2,8,179.0
190,2021-07-14,B.1.617.2,9,270.0
191,2021-07-15,B.1.1.7,1,227.0
191,2021-07-15,B.1.617.2,6,328.0
192,2021-07-16,B.1.617.2,8,217.0
193,2021-07-17,B.1.617.2,7,273.0
194,2021-07-18,B.1.617.2,9,137.0
195,2021-07-19,B.1.617.2,12,419.0
196,2021-07-20,B.1.617.2,14,226.0
197,2021-07-21,B.1.617.2,27,77.0
198,2021-07-22,B.1.617.2,16,203.0
199,2021-07-23,B.1.617.2,15,76.0
200,2021-07-24,B.1.617.2,12,70.0
201,2021-07-25,B.1.617.2,9,38.0
202,2021-07-26,B.1.1.7,1,26.0
202,2021-07-26,B.1.617.2,14,179.0
203,2021-07-27,B.1.617.2,22,365.0
204,2021-07-28,B.1.1.7,1,336.0
204,2021-07-28,B.1.617.2,15,993.0
205,2021-07-29,B.1.617.2,31,57.0
206,2021-07-30,B.1.617.2,29,61.0
207,2021-07-31,B.1.617.2,17,557.0
208,2021-08-01,B.1.617.2,16,87.0
209,2021-08-02,B.1.617.2,28,97.0
210,2021-08-03,B.1.617.2,34,147.0
211,2021-08-04,B.1.617.2,32,101.0
212,2021-08-05,B.1.617.2,27,42.0
213,2021-08-06,B.1.1.7,1,36.0
213,2021-08-06,B.1.617.2,25,136.0
214,2021-08-07,B.1.1.7,1,83.0
214,2021-08-07,B.1.617.2,20,254.0
215,2021-08-08,B.1.617.2,25,111.0
216,2021-08-09,B.1.1.7,1,217.0
216,2021-08-09,B.1.617.2,40,35.0
217,2021-08-10,B.1.617.2,39,594.0
218,2021-08-11,B.1.617.2,37,85.0
219,2021-08-12,B.1.617.2,42,813.0
220,2021-08-13,B.1.617.2,34,217.0
221,2021-08-14,B.1.617.2,21,434.0
222,2021-08-15,B.1.617.2,18,134.0
223,2021-08-16,B.1.617.2,40,52.0
224,2021-08-17,B.1.1.7,1,98.0
224,2021-08-17,B.1.617.2,22,411.0
225,2021-08-18,B.1.617.2,39,293.0
226,2021-08-19,B.1.617.2,32,139.0
227,2021-08-20,B.1.617.2,32,350.0
228,2021-08-21,B.1.617.2,25,205.0
229,2021-08-22,B.1.617.2,13,49.0
230,2021-08-23,B.1.617.2,29,47.0
231,2021-08-24,B.1.617.2,43,286.0
232,2021-08-25,B.1.617.2,57,411.0
233,2021-08-26,B.1.617.2,68,144.0
234,2021-08-27,B.1.617.2,36,734.0
235,2021-08-28,B.1.617.2,21,329.0
236,2021-08-29,B.1.617.2,24,71.0
237,2021-08-30,B.1.617.2,52,66.0
238,2021-08-31,B.1.617.2,36,211.0
239,2021-09-01,B.1.617.2,29,154.0
240,2021-09-02,B.1.617.2,52,215.0
241,2021-09-03,B.1.617.2,32,220.0
242,2021-09-04,B.1.617.2,24,520.0
243,2021-09-05,B.1.617.2,15,83.0
244,2021-09-06,B.1.617.2,16,44.0
245,2021-09-07,B.1.617.2,50,286.0
246,2021-09-08,B.1.617.2,47,170.0
247,2021-09-09,B.1.617.2,49,94.0
248,2021-09-10,B.1.617.2,46,362.0
249,2021-09-11,B.1.617.2,25,431.0
250,2021-09-12,B.1.617.2,27,164.0
251,2021-09-13,B.1.617.2,49,88.0
252,2021-09-14,B.1.617.2,31,246.0
253,2021-09-15,B.1.617.2,32,553.0
254,2021-09-16,B.1.617.2,43,424.0
255,2021-09-17,B.1.617.2,29,175.0
256,2021-09-18,B.1.617.2,18,246.0
257,2021-09-19,B.1.617.2,17,135.0
258,2021-09-20,B.1.617.2,42,53.0
259,2021-09-21,B.1.617.2,33,203.0
260,2021-09-22,B.1.617.2,39,223.0
261,2021-09-23,B.1.617.2,39,293.0
262,2021-09-24,B.1.617.2,34,374.0
263,2021-09-25,B.1.617.2,13,133.0
264,2021-09-26,B.1.617.2,14,107.0
265,2021-09-27,B.1.617.2,28,198.0
266,2021-09-28,B.1.617.2,25,164.0
267,2021-09-29,B.1.617.2,35,101.0
268,2021-09-30,B.1.617.2,34,57.0
269,2021-10-01,B.1.617.2,32,215.0
270,2021-10-02,B.1.617.2,18,165.0
271,2021-10-03,B.1.617.2,12,101.0
272,2021-10-04,B.1.617.2,37,101.0
273,2021-10-05,B.1.617.2,48,190.0
274,2021-10-06,B.1.617.2,27,94.0
275,2021-10-07,B.1.617.2,38,90.0
276,2021-10-08,B.1.617.2,28,1.0
277,2021-10-09,B.1.617.2,13,51.0
278,2021-10-10,B.1.617.2,22,94.0
279,2021-10-11,B.1.617.2,24,186.0
280,2021-10-12,B.1.617.2,51,335.0
281,2021-10-13,B.1.617.2,43,292.0
282,2021-10-14,B.1.617.2,49,208.0
283,2021-10-15,B.1.617.2,26,152.0
284,2021-10-16,B.1.617.2,23,89.0
285,2021-10-17,B.1.617.2,29,51.0
286,2021-10-18,B.1.617.2,40,49.0
287,2021-10-19,B.1.617.2,28,131.0
288,2021-10-20,B.1.617.2,30,50.0
289,2021-10-21,B.1.617.2,28,69.0
290,2021-10-22,B.1.617.2,24,30.0
291,2021-10-23,B.1.617.2,19,73.0
292,2021-10-24,B.1.617.2,14,22.0
293,2021-10-25,B.1.617.2,23,24.0
294,2021-10-26,B.1.617.2,31,6.0
295,2021-10-27,B.1.617.2,26,44.0
296,2021-10-28,B.1.617.2,38,36.0
297,2021-10-29,B.1.617.2,27,34.0
298,2021-10-30,B.1.617.2,17,32.0
299,2021-10-31,B.1.617.2,21,23.0
300,2021-11-01,B.1.617.2,29,16.0
301,2021-11-02,B.1.617.2,28,33.0
302,2021-11-03,B.1.617.2,37,38.0
303,2021-11-04,B.1.617.2,49,15.0
304,2021-11-05,B.1.617.2,30,12.0
305,2021-11-06,B.1.617.2,17,1.0
306,2021-11-07,B.1.617.2,22,4.0
307,2021-11-08,B.1.617.2,40,10.0
308,2021-11-09,B.1.617.2,30,7.0
309,2021-11-10,B.1.617.2,41,11.0
310,2021-11-11,B.1.617.2,46,9.0
311,2021-11-12,B.1.617.2,26,1.0
312,2021-11-13,B.1.617.2,20,1.0
313,2021-11-14,B.1.617.2,22,5.0
314,2021-11-15,B.1.617.2,36,3.0
315,2021-11-16,B.1.617.2,34,3.0
316,2021-11-17,B.1.617.2,28,2.0
317,2021-11-18,B.1.617.2,33,1.0
318,2021-11-19,B.1.617.2,34,1.0
319,2021-11-20,B.1.617.2,30,4.0
320,2021-11-21,B.1.617.2,19,2.0
321,2021-11-22,B.1.617.2,49,2.0
322,2021-11-23,B.1.617.2,32,1.0
323,2021-11-24,B.1.617.2,13,2.0
324,2021-11-25,B.1.617.2,1,1.0
325,2021-11-26,B.1.617.2,10,1.0
326,2021-11-27,B.1.617.2,18,
327,2021-11-28,B.1.617.2,34,
328,2021-11-29,B.1.617.2,100,
329,2021-11-30,B.1.617.2,94,
330,2021-12-01,B.1.617.2,88,
331,2021-12-02,B.1.617.2,65,
332,2021-12-03,B.1.617.2,45,
333,2021-12-04,B.1.617.2,34,
334,2021-12-05,B.1.617.2,18,
335,2021-12-06,B.1.617.2,56,
336,2021-12-07,B.1.617.2,32,
337,2021-12-08,B.1.617.2,37,
338,2021-12-09,B.1.617.2,26,
339,2021-12-10,B.1.617.2,47,
340,2021-12-11,B.1.617.2,16,
341,2021-12-12,B.1.617.2,10,
342,2021-12-13,B.1.617.2,5,
343,2021-12-14,B.1.617.2,30,
344,2021-12-15,B.1.617.2,22,
345,2021-12-16,B.1.617.2,22,
346,2021-12-17,B.1.617.2,18,
347,2021-12-18,B.1.617.2,15,
348,2021-12-19,B.1.617.2,13,
349,2021-12-20,B.1.617.2,22,
350,2021-12-21,B.1.617.2,20,
351,2021-12-22,B.1.617.2,13,
352,2021-12-23,B.1.617.2,6,
353,2021-12-24,B.1.617.2,1,
354,2021-12-25,B.1.617.2,2,
355,2021-12-26,B.1.617.2,8,
356,2021-12-27,B.1.617.2,7,
357,2021-12-28,B.1.617.2,11,
358,2021-12-29,B.1.617.2,9,
359,2021-12-30,B.1.617.2,1,
362,2022-01-02,B.1.617.2,1,
363,2022-01-03,B.1.617.2,4,
364,2022-01-04,B.1.617.2,3,
365,2022-01-05,B.1.617.2,2,
366,2022-01-06,B.1.617.2,1,
367,2022-01-07,B.1.617.2,1,
369,2022-01-09,B.1.617.2,1,
370,2022-01-10,B.1.617.2,3,
373,2022-01-13,B.1.617.2,2,
374,2022-01-14,B.1.617.2,2,
379,2022-01-19,B.1.617.2,1,
380,2022-01-20,B.1.617.2,1,
385,2022-01-25,B.1.617.2,1,
392,2022-02-01,B.1.617.2,1,
