tick,date,annotation_3,importations,seq_count
0,2021-01-05,B.1.1.7,1,178.0
1,2021-01-06,B.1.1.7,1,1.0
3,2021-01-08,B.1.1.7,1,2.0
5,2021-01-10,B.1.1.7,1,1.0
7,2021-01-12,B.1.1.7,1,1.0
10,2021-01-15,B.1.1.7,1,1.0
11,2021-01-16,B.1.1.7,1,1145.0
12,2021-01-17,B.1.1.7,1,1565.0
15,2021-01-20,B.1.1.7,2,155.0
17,2021-01-22,B.1.1.7,1,579.0
21,2021-01-26,B.1.1.7,1,260.0
23,2021-01-28,B.1.1.7,1,2.0
24,2021-01-29,B.1.1.7,1,222.0
25,2021-01-30,B.1.1.7,1,5.0
27,2021-02-01,B.1.1.7,1,1.0
30,2021-02-04,B.1.1.7,1,1.0
33,2021-02-07,B.1.1.7,1,2.0
34,2021-02-08,B.1.1.7,2,357.0
37,2021-02-11,B.1.1.7,1,1.0
40,2021-02-14,B.1.1.7,1,1.0
44,2021-02-18,B.1.1.7,1,6.0
45,2021-02-19,B.1.1.7,4,144.0
46,2021-02-20,B.1.1.7,1,12.0
47,2021-02-21,B.1.1.7,1,2.0
48,2021-02-22,B.1.1.7,1,9.0
49,2021-02-23,B.1.1.7,2,51.0
50,2021-02-24,B.1.1.7,3,5.0
51,2021-02-25,B.1.1.7,1,420.0
52,2021-02-26,B.1.1.7,1,2.0
53,2021-02-27,B.1.1.7,2,3.0
54,2021-02-28,B.1.1.7,3,3.0
55,2021-03-01,B.1.1.7,3,195.0
56,2021-03-02,B.1.1.7,2,16.0
57,2021-03-03,B.1.1.7,2,189.0
58,2021-03-04,B.1.1.7,2,38.0
59,2021-03-05,B.1.1.7,3,54.0
60,2021-03-06,B.1.1.7,2,3.0
61,2021-03-07,B.1.1.7,1,3.0
62,2021-03-08,B.1.1.7,5,90.0
63,2021-03-09,B.1.1.7,3,10.0
64,2021-03-10,B.1.1.7,2,5.0
65,2021-03-11,B.1.1.7,5,37.0
66,2021-03-12,B.1.1.7,4,6.0
67,2021-03-13,B.1.1.7,1,43.0
67,2021-03-13,B.1.617.2,1,3.0
68,2021-03-14,B.1.1.7,1,6.0
69,2021-03-15,B.1.1.7,4,10.0
70,2021-03-16,B.1.1.7,6,6.0
71,2021-03-17,B.1.1.7,3,18.0
72,2021-03-18,B.1.1.7,4,94.0
73,2021-03-19,B.1.1.7,4,14.0
74,2021-03-20,B.1.1.7,5,25.0
75,2021-03-21,B.1.1.7,6,12.0
76,2021-03-22,B.1.1.7,6,50.0
77,2021-03-23,B.1.1.7,6,106.0
78,2021-03-24,B.1.1.7,11,56.0
79,2021-03-25,B.1.1.7,9,20.0
80,2021-03-26,B.1.1.7,5,47.0
81,2021-03-27,B.1.1.7,3,36.0
82,2021-03-28,B.1.1.7,6,13.0
82,2021-03-28,B.1.617.2,1,112.0
83,2021-03-29,B.1.1.7,3,69.0
84,2021-03-30,B.1.1.7,14,47.0
85,2021-03-31,B.1.1.7,10,9.0
86,2021-04-01,B.1.1.7,15,5.0
87,2021-04-02,B.1.1.7,5,14.0
88,2021-04-03,B.1.1.7,4,23.0
89,2021-04-04,B.1.1.7,5,19.0
90,2021-04-05,B.1.1.7,7,359.0
90,2021-04-05,B.1.617.2,1,25.0
91,2021-04-06,B.1.1.7,4,9.0
91,2021-04-06,B.1.617.2,1,10271.0
92,2021-04-07,B.1.1.7,10,14.0
93,2021-04-08,B.1.1.7,9,31.0
94,2021-04-09,B.1.1.7,3,22.0
94,2021-04-09,B.1.617.2,1,60.0
95,2021-04-10,B.1.1.7,4,261.0
95,2021-04-10,B.1.617.2,1,7.0
96,2021-04-11,B.1.1.7,7,40.0
97,2021-04-12,B.1.1.7,3,6.0
97,2021-04-12,B.1.617.2,1,51.0
98,2021-04-13,B.1.1.7,11,4.0
99,2021-04-14,B.1.1.7,15,29.0
100,2021-04-15,B.1.1.7,9,359.0
100,2021-04-15,B.1.617.2,1,19.0
101,2021-04-16,B.1.1.7,5,33.0
101,2021-04-16,B.1.617.2,1,15.0
102,2021-04-17,B.1.1.7,15,52.0
103,2021-04-18,B.1.1.7,6,42.0
104,2021-04-19,B.1.1.7,21,268.0
104,2021-04-19,B.1.617.2,2,24.0
105,2021-04-20,B.1.1.7,4,22.0
106,2021-04-21,B.1.1.7,16,11.0
106,2021-04-21,B.1.617.2,1,3.0
107,2021-04-22,B.1.1.7,12,9.0
107,2021-04-22,B.1.617.2,1,20.0
108,2021-04-23,B.1.1.7,8,32.0
109,2021-04-24,B.1.1.7,9,14.0
109,2021-04-24,B.1.617.2,1,21.0
110,2021-04-25,B.1.1.7,6,4.0
111,2021-04-26,B.1.1.7,15,4.0
111,2021-04-26,B.1.617.2,2,16.0
112,2021-04-27,B.1.1.7,13,7.0
113,2021-04-28,B.1.1.7,12,63.0
113,2021-04-28,B.1.617.2,1,9.0
