tick,count
130,1
138,2
141,1
142,1
143,1
147,1
150,2
158,1
165,1
185,1
189,1
191,1
193,1
194,1
196,1
197,3
199,1
200,1
201,4
202,2
203,7
204,2
205,3
206,2
207,3
208,2
209,3
210,5
211,1
212,3
213,3
214,4
215,1
217,1
218,5
219,8
220,6
221,8
222,7
223,4
224,7
225,10
226,4
227,15
228,9
229,5
230,10
231,14
232,14
233,16
234,15
235,18
236,8
237,8
238,29
239,19
240,33
241,44
242,32
243,28
244,21
245,46
246,83
247,48
248,39
249,49
250,31
251,28
252,44
253,26
254,39
255,24
256,22
257,28
258,18
259,27
260,26
261,37
262,26
263,36
264,16
265,12
266,35
267,39
268,56
269,36
270,37
271,10
272,14
273,45
274,60
275,60
276,55
277,31
278,28
279,10
280,8
281,70
282,37
283,34
284,31
285,21
286,23
287,54
288,23
289,24
290,28
291,47
292,17
293,8
294,29
295,33
296,20
297,37
298,28
299,11
300,16
301,24
302,25
303,25
304,21
305,14
306,14
307,8
308,25
309,22
310,23
311,20
312,16
313,11
314,11
315,33
316,14
317,15
318,24
319,19
320,19
321,9
322,27
323,15
324,15
325,20
326,18
327,13
328,9
329,27
330,16
331,9
332,26
333,10
334,12
335,9
336,8
337,17
338,17
339,13
340,14
341,9
342,13
343,7
344,18
345,15
346,9
347,14
348,15
349,12
350,20
351,24
352,12
353,19
354,15
355,21
356,7
357,6
358,14
359,12
361,22
362,25
363,21
364,20
365,20
366,22
367,26
368,25
369,24
370,17
371,16
372,20
373,26
374,24
375,11
376,29
377,6
378,22
379,22
380,35
381,25
382,19
383,4
384,3
385,6
386,14
387,7
388,2
391,6
392,3
393,3
394,3
395,3
397,1
398,1
399,2
400,1
401,2
402,1
406,1
414,2
421,2
