tick,count
18,1
34,1
42,1
43,1
45,1
57,1
59,1
62,1
67,1
73,2
74,1
75,3
78,2
80,1
82,1
83,1
85,1
86,2
87,3
89,2
90,1
93,1
94,4
95,2
96,1
98,2
100,2
102,1
104,2
105,1
106,3
107,8
108,7
109,5
110,1
111,9
112,6
113,7
114,4
115,2
116,4
117,6
118,8
119,8
120,6
121,11
122,10
123,10
124,5
125,4
126,11
127,13
128,17
129,14
130,13
131,13
132,5
133,15
134,10
135,9
136,9
137,4
138,2
139,8
140,6
141,9
142,11
143,5
144,10
145,5
146,7
147,10
148,7
149,8
150,10
151,7
152,8
153,5
154,9
155,8
156,5
157,1
158,3
159,2
160,2
161,5
162,7
163,4
164,7
165,1
166,2
167,1
168,3
169,2
170,3
171,1
172,1
173,5
174,1
175,2
176,3
177,3
178,3
180,1
181,1
183,2
184,2
185,2
186,3
187,1
189,1
190,2
191,1
193,1
194,1
196,2
200,3
201,3
202,2
203,2
204,1
206,2
208,2
210,1
211,1
212,3
220,2
224,1
232,1
236,1
238,2
260,1
282,1
