tick,count
36,1
37,1
39,1
41,1
43,1
46,1
47,1
48,1
51,2
53,1
57,1
59,1
60,1
61,1
63,1
66,1
69,1
70,2
73,1
76,1
80,1
81,4
82,1
83,1
84,1
85,2
86,3
87,1
88,1
89,2
90,3
91,3
92,2
93,2
94,2
95,3
96,2
97,1
98,5
99,3
100,2
101,5
102,4
103,1
104,1
105,4
106,6
107,3
108,4
109,4
110,5
111,6
112,6
113,6
114,11
115,9
116,5
117,3
118,6
119,3
120,14
121,10
122,15
123,5
124,4
125,5
126,7
127,4
128,10
129,9
130,3
131,4
132,7
133,3
134,11
135,15
136,9
137,5
138,15
139,6
140,21
141,4
142,16
143,12
144,8
145,9
146,6
147,15
148,13
149,12
150,13
151,9
152,4
153,2
154,8
155,9
156,7
157,7
158,7
160,3
161,9
162,6
163,5
164,8
165,3
166,1
167,3
168,3
169,4
170,2
171,2
172,3
173,1
174,1
175,1
176,1
178,2
179,3
180,3
183,4
184,1
187,2
188,1
189,6
190,2
191,2
192,2
193,1
197,1
200,2
201,1
204,1
205,1
209,1
210,1
213,1
215,1
217,1
221,2
223,1
224,2
227,1
238,1
240,1
249,1
250,1
252,1
260,1
