tick,count
128,1
133,1
136,1
143,1
144,1
145,2
148,1
150,1
152,1
155,1
162,1
165,1
166,1
168,1
170,1
178,1
181,1
189,2
191,1
192,2
194,1
196,1
197,1
198,5
199,2
203,3
204,1
206,1
208,3
209,1
210,4
211,3
212,5
213,1
214,3
215,4
217,2
218,3
220,6
221,3
222,3
223,3
224,4
225,5
226,5
227,4
228,5
229,4
230,8
231,6
232,13
233,10
234,13
235,12
236,12
237,13
238,21
239,21
240,22
241,21
242,16
243,14
244,18
245,28
246,26
247,32
248,28
249,17
250,15
251,19
252,38
253,29
254,17
255,13
256,5
257,10
258,9
259,28
260,23
261,27
262,15
263,11
264,8
265,7
266,15
267,34
268,32
269,20
270,15
271,14
272,6
273,28
274,42
275,19
276,27
277,13
278,12
279,10
280,16
281,50
282,20
283,15
284,29
285,9
286,16
287,22
288,35
289,13
290,24
291,26
292,9
293,11
294,40
295,34
296,19
297,14
298,16
299,6
300,9
301,23
302,40
303,25
304,10
305,17
306,12
307,9
308,39
309,46
310,19
311,12
312,16
313,6
314,5
315,19
316,14
317,36
318,30
319,26
320,7
321,5
322,19
323,31
324,21
325,23
326,11
327,15
328,17
329,25
330,14
331,25
332,24
333,29
334,25
335,14
336,22
337,10
338,25
339,17
340,17
341,9
342,19
343,24
344,25
345,27
346,25
347,6
348,14
349,5
350,19
351,32
352,22
353,28
354,21
355,7
356,2
357,19
358,27
359,22
360,4
361,34
362,6
363,12
364,26
365,50
366,71
367,21
368,26
369,13
370,9
371,41
372,44
373,30
374,26
375,20
376,10
377,6
378,51
379,26
380,25
381,13
382,14
383,5
384,9
385,12
386,14
387,15
388,7
390,1
391,11
392,7
393,7
394,5
395,5
396,2
397,1
398,5
399,7
400,4
401,3
402,2
403,3
404,2
405,1
406,1
407,1
408,1
409,1
421,1
422,1
427,1
491,1
569,1
