tick,count
124,1
130,1
131,1
133,3
134,1
136,1
137,1
138,1
140,5
141,3
142,5
143,1
144,1
145,1
147,1
148,4
149,1
153,1
154,2
155,4
156,1
157,1
159,1
161,3
163,2
164,1
166,1
168,1
169,1
170,1
172,1
175,2
176,1
177,2
178,1
179,2
183,1
184,1
187,3
190,2
191,4
192,1
193,1
194,1
196,3
197,2
198,3
199,3
200,3
201,2
202,4
203,3
204,2
205,4
207,4
208,1
209,3
211,4
212,3
213,10
214,8
215,1
216,1
217,3
218,16
219,17
220,8
221,3
222,6
223,3
224,18
225,16
226,21
227,13
228,15
229,11
230,5
231,31
232,23
233,15
234,18
235,19
236,16
237,9
238,29
239,26
240,17
241,46
242,30
243,16
244,15
245,41
246,22
247,16
248,19
249,23
250,26
251,12
252,32
253,18
254,25
255,32
256,36
257,34
258,11
259,87
260,55
261,38
262,37
263,25
264,13
265,7
266,18
267,20
268,30
269,38
270,22
271,18
272,14
273,25
274,18
275,17
276,39
277,21
278,9
279,2
280,8
281,51
282,47
283,37
284,32
285,13
286,7
287,16
288,11
289,12
290,19
291,24
292,12
293,9
294,18
295,37
296,10
297,8
298,18
299,38
300,10
301,13
302,19
303,23
304,24
305,43
306,31
307,10
308,16
309,33
310,14
311,17
312,15
313,13
314,12
315,37
316,8
317,14
318,26
319,26
320,10
321,5
322,22
323,22
324,33
325,22
326,26
327,11
328,6
329,15
330,18
331,18
332,30
333,28
334,11
335,5
336,24
337,22
338,16
339,14
340,13
341,12
342,13
343,32
344,23
345,32
346,21
347,3
348,19
349,7
350,40
351,17
352,4
353,25
354,24
355,12
356,6
357,25
358,35
359,18
360,4
361,27
362,7
363,9
364,30
365,29
366,45
367,50
368,36
369,23
370,10
371,15
372,19
373,28
374,27
375,39
376,33
377,14
378,28
379,27
380,21
381,19
382,16
383,9
384,3
385,9
386,13
387,7
388,5
389,5
391,3
392,7
393,8
394,7
395,4
396,3
397,1
398,2
399,1
400,2
401,2
402,2
403,1
404,1
405,1
406,3
407,2
409,1
414,3
420,1
422,2
693,1
