tick,count
10,1
30,1
36,1
39,1
52,1
59,1
60,1
62,1
65,1
70,1
71,1
72,1
74,1
75,2
78,1
82,1
84,2
87,1
88,4
90,1
91,4
93,3
94,4
95,2
96,3
97,3
98,2
99,5
100,2
101,3
102,3
103,5
104,2
105,3
106,2
107,7
108,5
109,5
110,3
112,6
113,1
114,5
115,4
116,6
117,3
118,2
119,6
120,7
121,9
122,14
123,8
124,4
125,2
126,6
127,5
128,7
129,6
130,6
131,6
132,7
133,11
134,7
135,7
136,16
137,10
138,5
139,4
140,11
141,11
142,8
143,9
144,5
145,3
146,1
147,12
148,7
149,12
150,10
151,13
152,8
153,6
154,5
155,10
156,14
157,7
158,5
159,6
160,5
161,14
162,19
163,4
164,10
165,6
166,3
167,1
168,6
169,6
170,2
171,3
172,3
173,1
174,1
175,2
176,3
178,4
179,3
181,2
183,2
184,1
185,4
186,3
187,1
188,1
189,4
190,1
191,4
192,2
193,3
194,2
195,2
196,4
197,6
198,3
199,1
200,1
201,1
202,3
203,10
204,3
205,3
207,2
208,1
209,6
210,1
211,2
212,3
213,1
214,2
217,2
218,4
220,2
222,1
223,1
224,3
227,2
228,3
229,1
230,1
231,2
233,4
235,4
238,3
241,1
243,1
245,2
246,1
247,2
249,1
268,1
