tick,count
103,1
118,1
126,1
127,1
130,1
131,1
133,1
136,1
137,1
140,2
142,1
143,1
145,1
147,2
149,1
151,1
153,1
155,1
158,1
159,2
163,1
165,1
166,1
169,1
170,1
177,1
178,1
179,1
184,1
186,2
188,1
189,1
195,1
196,2
198,1
199,2
200,2
201,1
204,2
205,3
206,2
207,1
208,4
209,1
210,3
211,1
212,2
213,4
214,4
215,2
216,1
217,4
218,4
219,7
220,4
221,3
222,4
223,4
224,7
225,8
226,9
227,6
228,8
229,7
230,9
231,12
232,14
233,27
234,16
235,15
236,12
237,9
238,14
239,22
240,15
241,31
242,29
243,17
244,16
245,28
246,34
247,32
248,27
249,25
250,20
251,25
252,40
253,39
254,37
255,42
256,34
257,21
258,18
259,40
260,22
261,39
262,32
263,32
264,25
265,13
266,29
267,43
268,57
269,68
270,36
271,21
272,24
273,52
274,36
275,29
276,52
277,32
278,24
279,15
280,16
281,50
282,47
283,49
284,46
285,25
286,27
287,49
288,31
289,32
290,43
291,29
292,18
293,17
294,42
295,33
296,39
297,39
298,34
299,13
300,14
301,28
302,25
303,35
304,34
305,32
306,18
307,12
308,37
309,48
310,27
311,38
312,28
313,13
314,22
315,24
316,51
317,43
318,49
319,26
320,23
321,29
322,40
323,28
324,30
325,28
326,24
327,19
328,14
329,23
330,31
331,26
332,38
333,27
334,17
335,21
336,29
337,28
338,37
339,49
340,30
341,17
342,22
343,40
344,30
345,41
346,46
347,26
348,20
349,22
350,36
351,34
352,28
353,33
354,34
355,30
356,19
357,49
358,32
359,13
360,1
361,10
362,18
363,34
364,100
365,94
366,88
367,65
368,45
369,34
370,18
371,56
372,32
373,37
374,26
375,47
376,16
377,10
378,5
379,30
380,22
381,22
382,18
383,15
384,13
385,22
386,20
387,13
388,6
389,1
390,2
391,8
392,7
393,11
394,9
395,1
398,1
399,4
400,3
401,2
402,1
403,1
405,1
406,3
409,2
410,2
415,1
416,1
421,1
428,1
