tick,count
47,2
50,1
56,1
70,1
77,1
82,1
84,1
87,1
89,2
90,1
91,1
92,1
93,1
97,3
98,3
100,1
101,4
102,1
103,1
104,2
105,1
106,2
107,5
108,6
109,3
110,1
111,3
112,4
113,5
114,4
115,8
116,4
117,2
118,3
119,7
120,7
121,14
122,8
123,4
125,4
126,4
127,4
128,7
129,14
130,5
131,2
132,3
133,1
134,4
135,11
136,10
137,10
138,6
139,2
140,5
141,6
142,8
143,6
144,5
145,2
146,5
147,10
148,5
149,7
150,8
151,4
152,2
153,4
154,4
155,11
156,5
157,6
158,2
159,9
160,1
161,7
162,3
163,6
164,6
165,5
166,4
167,3
168,6
169,5
170,3
171,1
172,4
173,3
174,2
175,2
176,2
177,3
178,5
179,1
180,4
181,3
182,3
183,3
184,3
186,2
187,3
188,2
189,2
190,2
191,4
192,2
194,3
195,1
196,3
197,4
198,1
200,2
201,1
203,3
204,1
206,1
207,1
208,2
211,1
212,2
215,3
218,2
219,1
221,1
225,1
230,2
231,1
232,1
236,1
244,2
246,1
253,1
283,1
324,1
366,1
