tick,count
124,1
128,1
130,1
137,1
145,1
148,1
152,1
155,1
156,2
157,2
158,1
163,2
174,1
175,1
176,1
177,2
179,1
183,1
184,2
189,1
191,3
193,2
195,1
196,3
197,5
199,2
200,5
202,1
203,5
205,5
206,3
207,3
210,2
211,4
212,7
213,4
216,1
217,2
218,1
219,6
220,6
221,6
222,2
223,2
224,4
225,11
226,7
227,4
228,9
229,6
230,5
231,15
232,13
233,13
234,12
235,19
236,5
237,10
238,20
239,21
240,23
241,20
242,13
243,12
244,60
245,20
246,37
247,29
248,36
249,35
250,23
251,12
252,28
253,40
254,30
255,32
256,35
257,17
258,32
259,40
260,42
261,40
262,35
263,43
264,16
265,28
266,56
267,34
268,21
269,29
270,28
271,12
272,24
273,44
274,58
275,63
276,37
277,20
278,21
279,15
280,13
281,41
282,56
283,53
284,48
285,21
286,21
287,28
288,37
289,51
290,42
291,35
292,9
293,9
294,24
295,37
296,38
297,33
298,40
299,11
300,19
301,51
302,52
303,41
304,31
305,19
306,26
307,22
308,38
309,29
310,31
311,49
312,14
313,26
314,20
315,48
316,37
317,30
318,30
319,19
320,19
321,10
322,39
323,22
324,12
325,17
326,26
327,19
328,8
329,31
330,28
331,16
332,34
333,31
334,18
335,19
336,36
337,29
338,52
339,49
340,34
341,39
342,16
343,25
344,36
345,41
346,25
347,25
348,17
349,8
350,27
351,23
352,40
353,18
354,35
355,8
356,22
357,17
358,19
359,44
360,2
361,6
362,36
363,20
364,30
365,38
366,29
367,37
368,23
369,26
370,36
371,41
372,38
373,45
374,28
375,23
376,12
377,4
378,19
379,21
380,12
381,1
382,16
384,4
385,4
386,2
387,2
388,6
389,3
391,2
392,8
393,7
394,8
395,27
396,4
398,1
399,3
402,1
404,1
406,2
407,1
408,2
410,1
414,3
415,1
418,2
430,1
448,1
